N299,Acer_L299,WAcer299,Acer_E299,Lun_L299,WLun299,Lun_E299,Sol_L299,WSol299,Sol_E299
1,7.2,416,20.8,10.2,435,21.75,9,316,15.8
2,14.1,416.2979324,20.81489662,4.8,433.4440229,21.67220114,7.6,316.1447749,15.80723874
3,12.5,416.5953848,20.82976924,6.8,431.8901653,21.59450826,8,316.2893879,15.8144694
4,15.5,416.8918772,20.84459386,5.4,430.3405468,21.51702734,7,316.4336773,15.82168387
5,9.2,417.1869296,20.85934648,8,428.7972871,21.43986435,4.6,316.5774814,15.82887407
6,15.8,417.480062,20.8740031,0,427.2625056,21.36312528,10.2,316.7206382,15.83603191
7,10.4,417.7707944,20.88853972,7,425.7383218,21.28691609,9,316.8629859,15.8431493
8,10,418.0586469,20.90293234,9.8,424.2268555,21.21134278,9.8,317.0043629,15.85021814
9,17,418.3431393,20.91715697,7,422.7302261,21.1365113,13.8,317.1446072,15.85723036
10,12.8,418.6237918,20.93118959,9,421.2505532,21.06252766,9.2,317.283557,15.86417785
11,5,418.9001243,20.94500621,4,419.7899563,20.98949782,11.2,317.4210506,15.87105253
12,16,419.1716568,20.95858284,11,418.3505551,20.91752775,9,317.5569261,15.87784631
13,13.8,419.4379094,20.97189547,5.6,416.934469,20.84672345,9.8,317.6910218,15.88455109
14,16.2,419.6984019,20.9849201,6,415.5438177,20.77719089,9.7,317.8231758,15.89115879
15,17,419.9526545,20.99763273,11.6,414.1807207,20.70903604,10.4,317.9532263,15.89766132
16,4,420.2001872,21.01000936,12.6,412.8472976,20.64236488,12,318.0810116,15.90405058
17,16,420.4405199,21.02202599,13,411.5456678,20.57728339,10,318.2063698,15.91031849
18,16,420.6731726,21.03365863,11,410.2779511,20.51389756,9,318.329139,15.91645695
19,16,420.8976653,21.04488327,10.8,409.0462669,20.45231335,11.4,318.4491576,15.92245788
20,17.6,421.1135181,21.05567591,13,407.8527349,20.39263674,11,318.5662637,15.92831318
21,6.7,421.320251,21.06601255,12.7,406.6994745,20.33497372,10,318.6802954,15.93401477
22,16.6,421.5173838,21.07586919,14.4,405.5886053,20.27943027,11.2,318.7910911,15.93955455
23,16.2,421.7044368,21.08522184,14.4,404.5222469,20.22611235,11.2,318.8984888,15.94492444
24,13,421.8809298,21.09404649,13.8,403.5025189,20.17512595,11,319.0023268,15.95011634
25,15.4,422.0463828,21.10231914,11.3,402.5315409,20.12657704,9.2,319.1024432,15.95512216
26,15,422.2003159,21.1100158,8.6,401.6114323,20.08057161,13,319.1986764,15.95993382
27,16,422.3422491,21.11711245,11,400.7443127,20.03721564,12.4,319.2908643,15.96454322
28,16.6,422.4717023,21.12358512,11,399.9323018,19.99661509,12.6,319.3788454,15.96894227
29,16.4,422.5881956,21.12940978,12,399.177519,19.95887595,12.2,319.4624576,15.97312288
30,16.4,422.6912489,21.13456245,10.6,398.4820839,19.9241042,10.4,319.5415393,15.97707697
31,14,422.7803824,21.13901912,12,397.8481162,19.89240581,9.8,319.6159287,15.98079643
32,12,422.8551158,21.14275579,13.2,397.2777353,19.86388676,11.8,319.6854638,15.98427319
33,17,422.9149694,21.14574847,11.8,396.7730608,19.83865304,7,319.749983,15.98749915
34,11.6,422.9594631,21.14797315,12,396.3362123,19.81681062,9,319.8093244,15.99046622
35,9.6,422.9881168,21.14940584,13.4,395.9693093,19.79846547,12.2,319.8633262,15.99316631
36,18.2,423.0004506,21.15002253,13,395.6744715,19.78372357,13,319.9118267,15.99559133
37,14.2,422.9959845,21.14979922,14,395.4538183,19.77269091,14,319.9546639,15.99773319
38,11,422.9742384,21.14871192,13,395.3094693,19.76547347,15,319.9916761,15.9995838
39,14.1,422.9347325,21.14673662,14,395.2435441,19.76217721,11.8,320.0228269,16.00114134
40,13.3,422.8769866,21.14384933,13.8,395.2581623,19.76290811,12.8,320.0491712,16.00245856
41,16,422.8005209,21.14002604,11.6,395.3554433,19.76777217,13.4,320.0723262,16.00361631
42,16,422.7048552,21.13524276,11.8,395.5375069,19.77687534,11.2,320.0939133,16.00469566
43,15,422.5895096,21.12947548,11.2,395.8064725,19.79032362,10.4,320.1155542,16.00577771
44,15.2,422.4540041,21.12270021,13,396.1643827,19.80821914,12,320.1388706,16.00694353
45,14.2,422.2978588,21.11489294,13,396.6107,19.830535,10.6,320.1654839,16.0082742
46,15.6,422.1205935,21.10602968,12,397.1417756,19.85708878,10,320.1970159,16.0098508
47,14.6,421.9217283,21.09608642,11.1,397.7537776,19.88768888,8,320.2350882,16.01175441
48,14,421.7007833,21.08503916,12,398.4428738,19.92214369,9,320.2813224,16.01406612
49,15,421.4572784,21.07286392,12.2,399.2052322,19.96026161,8.8,320.3373401,16.016867
50,17.4,421.1907335,21.05953668,11.8,400.0370207,20.00185104,9.2,320.4047629,16.02023814
51,14.6,420.9006796,21.04503398,12,400.9344072,20.04672036,9.8,320.4852124,16.02426062
52,14.4,420.587297,21.02936485,12,401.8935597,20.09467799,9.4,320.5803103,16.02901551
