N288,Dian_L288,WDian288,Dian_E288,Gina_L288,WGina288,Gina_E288,Juan_L288,WJuan288,Juan_E288,Luci_L288,WLuci288,Luci_E288,Pac_L288,WPac288,Pac_E288,Sol_L288,WSol288,Sol_E288,Viv_L288,WViv288,Viv_E288
1,11,466,23.3,29,444,22.2,8,435,21.75,16.6,503,25.15,19.6,382,19.1,11.6,423,21.15,5,519,25.95
2,12.2,466.3568571,23.31784286,18.9,444.30589,22.2152945,3.4,435.4559699,21.7727985,19.8,500.9006287,25.04503143,21,382,19.1,13,422.8641035,21.14320518,13.2,516.8744388,25.84372194
3,22,466.7134932,23.33567466,22,444.6118782,22.23059391,6,435.9123149,21.79561574,16.6,498.8020984,24.94010492,13.8,382,19.1,16.6,422.728159,21.13640795,13.2,514.749617,25.73748085
4,21,467.0696873,23.35348436,20.4,444.9180632,22.24590316,9.4,436.3694099,21.81847049,19,496.7052505,24.83526252,18.6,382,19.1,16.8,422.5921186,21.12960593,15.4,512.6262739,25.6313137
5,21.6,467.4252182,23.37126091,20,445.2245432,22.26122716,7.2,436.8276299,21.8413815,18,494.6109258,24.73054629,18.8,382,19.1,18.7,422.4559343,21.12279672,17,510.505149,25.52525745
6,22,467.7798651,23.38899325,17.6,445.5314164,22.27657082,10,437.28735,21.8643675,16.4,492.5199657,24.62599828,21.2,382,19.1,16,422.3195581,21.11597791,13.6,508.3869816,25.41934908
7,22,468.1334068,23.40667034,19,445.8387814,22.29193907,7,437.7489453,21.88744726,19.8,490.4332111,24.52166056,20,382,19.1,3,422.1829421,21.1091471,13.6,506.2725111,25.31362556
8,21,468.4856223,23.42428111,24.5,446.1467363,22.30733682,7.6,438.2127906,21.91063953,18.4,488.3515033,24.41757516,16.2,382,19.1,17.2,422.0460382,21.10230191,14.7,504.1624769,25.20812385
9,21,468.8362905,23.44181453,19,446.4553796,22.32276898,12.4,438.6792611,21.93396306,18,486.2756833,24.31378416,17.4,382,19.1,20.4,421.9087986,21.09543993,16,502.0576183,25.10288092
10,20,469.1851906,23.45925953,30,446.7648095,22.33824048,9,439.1487318,21.95743659,19.4,484.2065922,24.21032961,15.4,382,19.1,20,421.7711752,21.08855876,14.8,499.9586748,24.99793374
11,21.4,469.5321013,23.47660507,22.4,447.0751244,22.35375622,8.6,439.6215776,21.98107888,17.6,482.1450712,24.10725356,20.2,382,19.1,18.2,421.63312,21.081656,17.2,497.8663857,24.89331928
12,19.6,469.8768018,23.49384009,23,447.3864227,22.36932113,6.2,440.0981736,22.00490868,19.2,480.0919614,24.00459807,14.8,382,19.1,15.6,421.4945852,21.07472926,18.2,495.7814904,24.78907452
13,20.4,470.2190709,23.51095355,21.5,447.6988026,22.38494013,8,440.5788949,22.02894475,20,478.0481039,23.9024052,16.8,382,19.1,6.2,421.3555227,21.06777613,15.6,493.7047282,24.68523641
