N309,Fer_L309,WFer309,Fer_E309,Gpa_L309,WGpa309,Gpa_E309,Juan_L309,WJuan309,Juan_E309,Leti_L309,WLeti309,Leti_E309,Mart_L309,WMart309,Mart_E309,Mor_L309,WMor309,Mor_E309,Sol_L309,WSol309,Sol_E309
1,19,515,25.75,19,500,25,13.4,600,30,16.4,396,19.8,0,369,18.45,12.8,620,31,16.4,366,18.3
2,25.6,515.6356872,25.78178436,20.8,498.4846854,24.92423427,6,599.1628135,29.95814067,19.2,397.570641,19.87853205,0,368.964752,18.4482376,23,620,31,13.4,366,18.3
3,22,516.2712122,25.81356061,16,496.9699381,24.8484969,13,598.3256987,29.91628494,17.6,399.1407306,19.95703653,0,368.9294513,18.44647256,38,620,31,13.2,366,18.3
4,21,516.9064126,25.84532063,22,495.4563255,24.77281628,11,597.4887276,29.87443638,16.2,400.7097177,20.03548589,0,368.8940448,18.44470224,22,620,31,16,366,18.3
5,3,517.5411263,25.87705631,20.2,493.944415,24.69722075,14,596.651972,29.8325986,17.2,402.277051,20.11385255,0,368.8584799,18.44292399,25.4,620,31,13.7,366,18.3
6,22.6,518.1751908,25.90875954,20,492.434774,24.6217387,16,595.8155036,29.79077518,17,403.8421791,20.19210896,0,368.8227036,18.44113518,24,620,31,15.2,366,18.3
7,10.3,518.808444,25.9404222,22,490.9279697,24.54639849,14.8,594.9793942,29.74896971,18.2,405.4045509,20.27022754,0,368.7866632,18.43933316,22,620,31,15.2,366,18.3
8,25.8,519.4407236,25.97203618,23.2,489.4245696,24.47122848,5.8,594.1437158,29.70718579,18.6,406.9636149,20.34818074,10.8,368.7503058,18.43751529,23.2,620,31,11.6,366,18.3
9,25.4,520.0718673,26.00359337,20.8,487.925141,24.39625705,14.8,593.30854,29.665427,20,408.51882,20.425941,10,368.7135786,18.43567893,25.6,620,31,13.2,366,18.3
10,24.3,520.7017129,26.03508564,21.8,486.4302513,24.32151257,8.4,592.4739388,29.62369694,19.8,410.0696147,20.50348074,17.2,368.6764287,18.43382144,26.8,620,31,12.8,366,18.3
11,22.3,521.330098,26.0665049,16,484.9404678,24.24702339,9,591.6399839,29.5819992,20.2,411.615448,20.5807724,23,368.6388034,18.43194017,23,620,31,10,366,18.3
12,24.2,521.9568604,26.09784302,19.8,483.4563579,24.17281789,8,590.8067472,29.54033736,15.4,413.1557684,20.65778842,22.5,368.6006498,18.43003249,32.5,620,31,10.4,366,18.3
13,27,522.5818379,26.12909189,14,481.9784889,24.09892445,14,589.9743004,29.49871502,21.6,414.6900248,20.73450124,23,368.561915,18.42809575,27.2,620,31,12.2,366,18.3
14,26.6,523.2048681,26.16024341,25,480.5074282,24.02537141,15.6,589.1427154,29.45713577,18,416.2176657,20.81088328,20.7,368.5225462,18.42612731,24.2,620,31,13.8,366,18.3
15,27,523.8257889,26.19128944,23,479.0437432,23.95218716,12,588.312064,29.4156032,20.6,417.73814,20.886907,19.2,368.4824907,18.42412454,25.8,620,31,12.4,366,18.3
16,24.7,524.4444379,26.22222189,20.6,477.5880012,23.87940006,14,587.482418,29.3741209,21.2,419.2508963,20.96254481,21.8,368.4416955,18.42208478,22.6,620,31,13.2,366,18.3
17,23,525.0606528,26.25303264,20,476.1407696,23.80703848,17.2,586.6538492,29.33269246,15,420.7553834,21.03776917,27.6,368.4001079,18.4200054,22.6,620,31,11.6,366,18.3
18,25,525.6742714,26.28371357,20.4,474.7026157,23.73513079,18,585.8264294,29.29132147,23.2,422.2510499,21.1125525,23,368.357675,18.41788375,24,620,31,11.8,366,18.3
19,20.4,526.2851315,26.31425657,19,473.2741069,23.66370535,17,585.0002305,29.25001152,20,423.7373447,21.18686723,25.6,368.314344,18.4157172,26.4,620,31,12,366,18.3
20,3.6,526.8930707,26.34465353,22,471.8558106,23.59279053,16.6,584.1753242,29.20876621,21.8,425.2137164,21.26068582,23,368.270062,18.4135031,22,620,31,14.6,366,18.3
21,15,527.4979268,26.37489634,22,470.4482941,23.5224147,16.4,583.3517824,29.16758912,20.6,426.6796137,21.33398068,24.2,368.2247762,18.41123881,24.6,620,31,15.2,366,18.3
22,22,528.0995375,26.40497687,22.8,469.0521247,23.45260624,18,582.5296769,29.12648385,20.2,428.1344853,21.40672427,23,368.1784338,18.40892169,15.4,620,31,10.6,366,18.3
23,23,528.6977405,26.43488703,22.8,467.6678699,23.38339349,16.8,581.7090796,29.08545398,19.2,429.5777801,21.478889,28,368.130982,18.4065491,27.2,620,31,12.8,366,18.3
24,28,529.2923737,26.46461868,20.7,466.2960969,23.31480485,19.4,580.8900621,29.0445031,21.6,431.0089466,21.55044733,20.4,368.0823679,18.4041184,23.5,620,31,15.3,366,18.3
25,27.8,529.8832746,26.49416373,20,464.9373732,23.24686866,18.8,580.0726964,29.00363482,21,432.4274337,21.62137168,24,368.0325387,18.40162694,25,620,31,11.8,366,18.3
26,27.8,530.4702811,26.52351405,24.2,463.5922661,23.17961331,18.4,579.2570542,28.96285271,15,433.8326899,21.6916345,26.8,367.9814416,18.39907208,23,620,31,11.4,366,18.3
27,28.8,531.0532308,26.55266154,22.6,462.261343,23.11306715,18.6,578.4432074,28.92216037,15,435.2241641,21.76120821,26.8,367.9290237,18.39645118,28,620,31,14.2,366,18.3
