N274,Cen_L274,WCen274,Cen_E274,Dian_L274,WDian274,Dian_E274,Leti_L274,WLeti274,Leti_E274,Mor_L274,WMor274,Mor_E274,Muc_L274,WMuc274,Muc_E274,Sor_L274,WSor274,Sor_E274,Viv_L274,WViv274,Viv_E274
1,6,427,21.35,11,475,23.75,13.8,391,19.55,12.6,620,31,15.8,331,16.55,4.4,453,22.65,10.2,498,24.9
2,7.8,427,21.35,12.4,475,23.75,13.4,391,19.55,18.4,620,31,14,331,16.55,4.2,453,22.65,5.8,498,24.9
3,5.5,427,21.35,12.2,475,23.75,14.2,391,19.55,16.2,620,31,20.4,331,16.55,4.8,453,22.65,8.8,498,24.9
4,6.6,427,21.35,11.4,475,23.75,15,391,19.55,15.3,620,31,16.2,331,16.55,4.8,453,22.65,12.2,498,24.9
5,11.6,427,21.35,11.6,475,23.75,15,391,19.55,11.6,620,31,12.3,331,16.55,3.4,453,22.65,11.4,498,24.9
6,9.4,427,21.35,12.8,475,23.75,13,391,19.55,18.4,620,31,15.2,331,16.55,4.2,453,22.65,4.2,498,24.9
7,11,427,21.35,10.6,475,23.75,13.4,391,19.55,13.8,620,31,13.6,331,16.55,2.4,453,22.65,9.4,498,24.9
8,12.6,427,21.35,11,475,23.75,14.6,391,19.55,15.2,620,31,18.6,331,16.55,13,453,22.65,10.2,498,24.9
9,10.4,427,21.35,12,475,23.75,13.6,391,19.55,14.8,620,31,19.4,331,16.55,10.6,453,22.65,13,498,24.9
10,9.8,427,21.35,12,475,23.75,14,391,19.55,17.2,620,31,19,331,16.55,11.2,453,22.65,16.4,498,24.9
11,11.9,427,21.35,10,475,23.75,15.6,391,19.55,17,620,31,16,331,16.55,12.2,453,22.65,16.8,498,24.9
12,10.2,427,21.35,12,475,23.75,16.4,391,19.55,13,620,31,15.6,331,16.55,11.1,453,22.65,17.2,498,24.9
13,11.8,427,21.35,10.8,475,23.75,3.3,391,19.55,9.6,620,31,19.2,331,16.55,11.4,453,22.65,13.2,498,24.9
14,10.4,427,21.35,13,475,23.75,13.8,391,19.55,16.4,620,31,17.2,331,16.55,11.8,453,22.65,16.4,498,24.9
15,11,427,21.35,11.4,475,23.75,13.2,391,19.55,14.8,620,31,19,331,16.55,12.8,453,22.65,16.6,498,24.9
16,8.4,427,21.35,10.6,475,23.75,15.6,391,19.55,14,620,31,19,331,16.55,8,453,22.65,15.4,498,24.9
17,11.9,427,21.35,11,475,23.75,15.2,391,19.55,12.6,620,31,18.8,331,16.55,11.6,453,22.65,10.2,498,24.9
18,11.3,427,21.35,11.2,475,23.75,19.4,391,19.55,12.8,620,31,19.2,331,16.55,10,453,22.65,7.4,498,24.9
19,10.6,427,21.35,11.6,475,23.75,19.4,391,19.55,17,620,31,20,331,16.55,12.4,453,22.65,8.8,498,24.9
20,11.8,427,21.35,11.4,475,23.75,19,391,19.55,16.2,620,31,20.2,331,16.55,12,453,22.65,10.2,498,24.9
21,11.4,427,21.35,11.6,475,23.75,14.8,391,19.55,18.6,620,31,18.2,331,16.55,12,453,22.65,9.6,498,24.9
22,12.4,427,21.35,11.2,475,23.75,17.2,391,19.55,17,620,31,15.8,331,16.55,7.6,453,22.65,13,498,24.9
23,13.4,427,21.35,14,475,23.75,2,391,19.55,14.2,620,31,18,331,16.55,11.8,453,22.65,12.2,498,24.9
24,12.4,427,21.35,13.2,475,23.75,15.4,391,19.55,19,620,31,17.2,331,16.55,13.4,453,22.65,10.4,498,24.9
25,12.3,427,21.35,13.8,475,23.75,0,391,19.55,14.8,620,31,21.4,331,16.55,12.2,453,22.65,11,498,24.9
26,13.2,427,21.35,13.8,475,23.75,16,391,19.55,20.6,620,31,15,331,16.55,11,453,22.65,14.6,498,24.9
27,12.8,427,21.35,12.4,475,23.75,15,391,19.55,19.6,620,31,17,331,16.55,8.4,453,22.65,11.5,498,24.9
28,13.4,427,21.35,9.8,475,23.75,16.2,391,19.55,16.8,620,31,16.6,331,16.55,13.2,453,22.65,12.4,498,24.9
29,12,427,21.35,13,475,23.75,16.8,391,19.55,21,620,31,18.4,331,16.55,11.4,453,22.65,12.6,498,24.9
30,13,427,21.35,14.2,475,23.75,15.2,391,19.55,17,620,31,20.4,331,16.55,14.6,453,22.65,13.6,498,24.9
31,15.2,427,21.35,14.6,475,23.75,15.8,391,19.55,18.2,620,31,21.2,331,16.55,12.8,453,22.65,13.2,498,24.9
32,12.2,427,21.35,14.2,475,23.75,16,391,19.55,18,620,31,21,331,16.55,11.4,453,22.65,12.66,498,24.9
33,10.4,427,21.35,11.8,475,23.75,13.4,391,19.55,14.4,620,31,20.8,331,16.55,11.4,453,22.65,12.2,498,24.9
34,13.4,427,21.35,15.4,475,23.75,14.6,391,19.55,12.2,620,31,18,331,16.55,11.4,453,22.65,13.6,498,24.9
35,14,427,21.35,14.6,475,23.75,7.8,391,19.55,14.4,620,31,18.4,331,16.55,10.8,453,22.65,10.4,498,24.9
36,13.2,427,21.35,14,475,23.75,14.4,391,19.55,13.6,620,31,18.4,331,16.55,12.2,453,22.65,6.6,498,24.9
37,13,427,21.35,12.6,475,23.75,15.4,391,19.55,15.2,620,31,9.8,331,16.55,12,453,22.65,13,498,24.9
38,13.1,427,21.35,17,475,23.75,13.4,391,19.55,18.2,620,31,9.6,331,16.55,12.4,453,22.65,13.2,498,24.9
39,11.9,427,21.35,13.4,475,23.75,14.8,391,19.55,17.2,620,31,19.5,331,16.55,11.4,453,22.65,11.6,498,24.9
40,12.6,427,21.35,13.4,475,23.75,11.2,391,19.55,16.2,620,31,19.8,331,16.55,12,453,22.65,12.2,498,24.9
41,12.4,427,21.35,12,475,23.75,13,391,19.55,19.2,620,31,21,331,16.55,11.6,453,22.65,0,498,24.9
42,13.8,427,21.35,14,475,23.75,13.8,391,19.55,16.8,620,31,22,331,16.55,11.2,453,22.65,11.8,498,24.9
43,13.4,427,21.35,14.4,475,23.75,15.6,391,19.55,18,620,31,19.8,331,16.55,11.4,453,22.65,11,498,24.9
44,13,427,21.35,12,475,23.75,16.6,391,19.55,19.8,620,31,22.6,331,16.55,10.6,453,22.65,8.2,498,24.9
45,10.7,427,21.35,14,475,23.75,11,391,19.55,16.4,620,31,19.6,331,16.55,8.8,453,22.65,10.2,498,24.9
46,13.5,427,21.35,15,475,23.75,12.4,391,19.55,15,620,31,20.2,331,16.55,11.4,453,22.65,8,498,24.9
47,13.8,427,21.35,14,475,23.75,11.6,391,19.55,17,620,31,17.2,331,16.55,11,453,22.65,12.4,498,24.9
48,13.6,427,21.35,14,475,23.75,13.2,391,19.55,17.4,620,31,19.8,331,16.55,2.8,453,22.65,13.2,498,24.9
49,12,427,21.35,12,475,23.75,13,391,19.55,13.6,620,31,19,331,16.55,10.4,453,22.65,14.2,498,24.9
50,14.8,427,21.35,11.2,475,23.75,13.8,391,19.55,10,620,31,16.8,331,16.55,11,453,22.65,13.8,498,24.9
51,12.8,427,21.35,14.6,475,23.75,14.4,391,19.55,15.8,620,31,18.2,331,16.55,7.4,453,22.65,9.8,498,24.9
52,13.7,427,21.35,14.2,475,23.75,12,391,19.55,15.8,620,31,19,331,16.55,7.6,453,22.65,12.4,498,24.9
53,14.9,427,21.35,13.2,475,23.75,10.2,391,19.55,11.8,620,31,16.6,331,16.55,9.8,453,22.65,13.8,498,24.9
54,11.8,427,21.35,11.6,475,23.75,10.6,391,19.55,11.8,620,31,17.2,331,16.55,10.5,453,22.65,7.4,498,24.9
55,12.8,427,21.35,14.4,475,23.75,15.2,391,19.55,3.4,620,31,18.1,331,16.55,8.2,453,22.65,13.2,498,24.9
56,12.4,427,21.35,12.6,475,23.75,13.8,391,19.55,14.4,620,31,18.2,331,16.55,9.2,453,22.65,13.6,498,24.9
57,13.4,427,21.35,0,475,23.75,11.4,391,19.55,13,620,31,17.6,331,16.55,12.6,453,22.65,10,498,24.9
58,12.6,427,21.35,0,475,23.75,12.4,391,19.55,15.8,620,31,15.2,331,16.55,5.2,453,22.65,8.4,498,24.9
59,13,427,21.35,0,475,23.75,13.8,391,19.55,15.2,620,31,18.6,331,16.55,9.4,453,22.65,7.6,498,24.9
60,9.7,427,21.35,0,475,23.75,11.8,391,19.55,14.8,620,31,18.3,331,16.55,12.6,453,22.65,11.1,498,24.9
61,12,427,21.35,0,475,23.75,13.4,391,19.55,16.4,620,31,17.4,331,16.55,17.2,453,22.65,13.2,498,24.9
62,11.4,427,21.35,0,475,23.75,12.8,391,19.55,17,620,31,15.8,331,16.55,16.8,453,22.65,11.8,498,24.9
63,11.6,427,21.35,0,475,23.75,10,391,19.55,16.6,620,31,14.8,331,16.55,17.4,453,22.65,15,498,24.9
64,11.4,427,21.35,14,475,23.75,9.8,391,19.55,17.4,620,31,17.2,331,16.55,8.8,453,22.65,12.2,498,24.9
65,12,427,21.35,13,475,23.75,12.2,391,19.55,5,620,31,15.6,331,16.55,10.4,453,22.65,13.2,498,24.9
66,12.2,427,21.35,15,475,23.75,13.6,391,19.55,9.8,620,31,13.8,331,16.55,10.2,453,22.65,13.6,498,24.9
67,12.5,427,21.35,14,475,23.75,12.6,391,19.55,17,620,31,18,331,16.55,5.2,453,22.65,9.1,498,24.9
68,11.6,427,21.35,15,475,23.75,12.6,391,19.55,21.2,620,31,16.8,331,16.55,10,453,22.65,12.6,498,24.9
69,10.6,427,21.35,14.5,475,23.75,11.2,391,19.55,16,620,31,17.4,331,16.55,9.8,453,22.65,10,498,24.9
70,12.2,427,21.35,13.4,475,23.75,0,391,19.55,17,620,31,15.6,331,16.55,5.8,453,22.65,12,498,24.9
71,16.2,427,21.35,14,475,23.75,10.6,391,19.55,16.2,620,31,17.2,331,16.55,10.8,453,22.65,11.2,498,24.9
