N298,Andre_L298,WAndre298,Andre_E298,Gpa_L298,WGpa298,Gpa_E298
1,16.8,382,19.1,0,511,25.55
2,15.2,382,19.1,0,511,25.55
3,9.4,382,19.1,0,511,25.55
4,8.6,382,19.1,0,511,25.55
5,13,382,19.1,0,511,25.55
6,5.6,382,19.1,0,511,25.55
7,17.2,382,19.1,0,511,25.55
8,15.4,382,19.1,0,511,25.55
9,12.6,382,19.1,0,511,25.55
10,8,382,19.1,0,511,25.55
11,6.4,382,19.1,0,511,25.55
12,17.4,382,19.1,0,511,25.55
13,15.2,382,19.1,0,511,25.55
14,15.2,382,19.1,11,511,25.55
15,19.2,382,19.1,18.4,511,25.55
16,19.6,382,19.1,11.4,511,25.55
17,21.8,382,19.1,14.2,511,25.55
18,20,382,19.1,18.8,511,25.55
19,21,382,19.1,18.2,511,25.55
20,15.8,382,19.1,17.2,511,25.55
21,20.2,382,19.1,16,511,25.55
22,16,382,19.1,17.4,511,25.55
23,17.3,382,19.1,16.8,511,25.55
24,16.2,382,19.1,17.2,511,25.55
25,16.4,382,19.1,10.8,511,25.55
26,13.8,382,19.1,13,511,25.55
27,11.4,382,19.1,12.2,511,25.55
28,17.8,382,19.1,15.2,511,25.55
29,14.4,382,19.1,15,511,25.55
30,18.2,382,19.1,13.4,511,25.55
31,15,382,19.1,15.1,511,25.55
32,17.6,382,19.1,15.4,511,25.55
33,20.6,382,19.1,16.4,511,25.55
34,19.4,382,19.1,15.8,511,25.55
35,14.4,382,19.1,16,511,25.55
36,14.6,382,19.1,13.8,511,25.55
37,9,382,19.1,15.2,511,25.55
38,20.4,382,19.1,15.6,511,25.55
39,22.4,382,19.1,12.7,511,25.55
40,19.6,382,19.1,14.6,511,25.55
41,22,382,19.1,11.4,511,25.55
42,17,382,19.1,11.4,511,25.55
43,20.8,382,19.1,13,511,25.55
44,18.8,382,19.1,13.2,511,25.55
45,20,382,19.1,17.2,511,25.55
46,20,382,19.1,18,511,25.55
47,19.8,382,19.1,17,511,25.55
48,16,382,19.1,17.2,511,25.55
49,22,382,19.1,7.2,511,25.55
50,20.6,382,19.1,15.6,511,25.55
51,3.6,382,19.1,20.4,511,25.55
52,19,382,19.1,15.4,511,25.55
53,21,382,19.1,12.6,511,25.55
54,10.2,382,19.1,21.6,511,25.55
55,13.6,382,19.1,15.4,511,25.55
56,14.8,382,19.1,14.8,511,25.55
57,24.4,382,19.1,15.8,511,25.55
58,19,382,19.1,12,511,25.55
59,19.2,382,19.1,13,511,25.55
60,21.8,382,19.1,2.4,511,25.55
61,6.4,382,19.1,10.4,511,25.55
62,15.8,382,19.1,6.2,511,25.55
63,4.8,382,19.1,11.6,511,25.55
64,12.2,382,19.1,17,511,25.55
65,11,382,19.1,15,511,25.55
66,11.4,382,19.1,16,511,25.55
67,20.6,382,19.1,16,511,25.55
68,22.8,382,19.1,16.4,511,25.55
69,19.4,382,19.1,16.4,511,25.55
70,14.2,382,19.1,17.4,511,25.55
71,21.4,382,19.1,16.4,511,25.55
72,19,382,19.1,14.8,511,25.55
73,12.2,382,19.1,16.8,511,25.55
74,15.4,382,19.1,14.4,511,25.55
75,17.2,382,19.1,13,511,25.55
76,15.6,382,19.1,14,511,25.55
77,14.4,382,19.1,13.1,511,25.55
78,15.2,382,19.1,14.31,511,25.55
79,16.6,382,19.1,14.2,511,25.55
80,12.8,382,19.1,13.8,511,25.55
81,16.8,382,19.1,15.8,511,25.55
82,16,382,19.1,21,511,25.55
83,12.6,382,19.1,15.4,511,25.55
84,9.3,382,19.1,15.4,511,25.55
85,13.6,382,19.1,16.2,511,25.55
86,15.5,382,19.1,13.4,511,25.55
87,16,382,19.1,16,511,25.55
88,16.4,382,19.1,12.2,511,25.55
89,14.8,382,19.1,13.6,511,25.55
90,15,382,19.1,14.2,511,25.55
91,12.8,382,19.1,19,511,25.55
92,14,382,19.1,18.8,511,25.55
93,13.6,382,19.1,18.8,511,25.55
94,13.4,382,19.1,18.2,511,25.55
95,16.4,382,19.1,18.6,511,25.55
96,9.8,382,19.1,19.2,511,25.55
97,14.2,382,19.1,18.8,511,25.55
98,16.2,382,19.1,18,511,25.55
99,14.5,382,19.1,19.4,511,25.55
100,16.6,382,19.1,15.6,511,25.55
101,15,382,19.1,19.2,511,25.55
102,16,382,19.1,17.8,511,25.55
103,15.2,382,19.1,4.2,511,25.55
104,15.8,382,19.1,18,511,25.55
105,14.4,382,19.1,17,511,25.55
106,11.2,382,19.1,14,511,25.55
107,9.2,382,19.1,13.8,511,25.55
108,0,382,19.1,13.4,511,25.55
109,11,382,19.1,15.18,511,25.55
110,13.6,382,19.1,21,511,25.55
111,15.2,382,19.1,14.8,511,25.55
112,16.2,382,19.1,14.9,511,25.55
113,12.9,382,19.1,5.4,511,25.55
114,14.2,382,19.1,15,511,25.55
115,14.2,382,19.1,16.6,511,25.55
116,16,382,19.1,11.8,511,25.55
117,11.6,382,19.1,10.2,511,25.55
118,14.8,382,19.1,8.4,511,25.55
119,16,382,19.1,14.4,511,25.55
120,11.5,382,19.1,16.6,511,25.55
121,10.4,382,19.1,13.8,511,25.55
122,14,382,19.1,13.2,511,25.55
123,16.8,382,19.1,12.6,511,25.55
124,14.2,382,19.1,16.34,511,25.55
125,15,382,19.1,9.6,511,25.55
126,13,382,19.1,10.4,511,25.55
127,12.9,382,19.1,12,511,25.55
128,11.8,382,19.1,13.6,511,25.55
129,11.4,382,19.1,8.2,511,25.55
130,14.2,382,19.1,12.4,511,25.55
131,14,382,19.1,12.6,511,25.55
132,12.8,382,19.1,11.4,511,25.55
133,13.6,382,19.1,12.8,511,25.55
134,13.1,382,19.1,14.2,511,25.55
135,12.2,382,19.1,9.6,511,25.55
136,16.4,382,19.1,13.8,511,25.55
137,16,382,19.1,12.8,511,25.55
138,15.2,382,19.1,13.4,511,25.55
139,15.6,382,19.1,13.4,511,25.55
140,14,382,19.1,12.6,511,25.55
141,14.7,382,19.1,13.8,511,25.55
142,15.6,382,19.1,12.2,511,25.55
143,13.4,382,19.1,12,511,25.55
144,15.4,382,19.1,11.4,511,25.55
145,12.2,382,19.1,13.2,511,25.55
146,14.2,382,19.1,12.4,511,25.55
147,17.2,382,19.1,12.8,511,25.55
148,14.2,382,19.1,12,511,25.55
149,18,382,19.1,10.2,511,25.55
150,14.6,382,19.1,13.6,511,25.55
151,17,382,19.1,12.2,511,25.55
152,14.6,382,19.1,11.6,511,25.55
153,12.2,382,19.1,12,511,25.55
154,7,382,19.1,9.2,511,25.55
155,19.8,382,19.1,10,511,25.55
156,14.4,382,19.1,7.3,511,25.55
157,14.4,382,19.1,11.4,511,25.55
158,18,382,19.1,11.1,511,25.55
159,14.8,382,19.1,8.9,511,25.55
160,16.6,382,19.1,3.6,511,25.55
161,14.6,382,19.1,6.6,511,25.55
162,13.7,382,19.1,12.2,511,25.55
163,14.4,382,19.1,10.4,511,25.55
164,16.8,382,19.1,11.2,511,25.55
165,13.2,382,19.1,11.6,511,25.55
166,15.4,382,19.1,13.4,511,25.55
167,16.6,382,19.1,12,511,25.55
168,15.2,382,19.1,11.4,511,25.55
169,13.3,382,19.1,12.4,511,25.55
170,15.6,382,19.1,12.4,511,25.55
171,15.8,382,19.1,11.6,511,25.55
172,13.6,382,19.1,10.3,511,25.55
173,13.8,382,19.1,10.9,511,25.55
174,13.6,382,19.1,11.2,511,25.55
175,13.6,382,19.1,12,511,25.55
176,13.2,382,19.1,13.2,511,25.55
177,13.6,382,19.1,10.2,511,25.55
178,10.6,382,19.1,12.8,511,25.55
179,13.8,382,19.1,7.9,511,25.55
180,13.6,382,19.1,13.6,511,25.55
181,14.4,382,19.1,11.4,511,25.55
182,11.4,382,19.1,11.6,511,25.55
183,12.4,382,19.1,11.6,511,25.55
184,13.8,382,19.1,12.8,511,25.55
185,9.6,382,19.1,12.4,511,25.55
186,12,382,19.1,11.9,511,25.55
187,13.8,382,19.1,12.3,511,25.55
188,12.4,382,19.1,11.6,511,25.55
189,13.2,382,19.1,11.4,511,25.55
190,13.4,382,19.1,11.6,511,25.55
191,13,382,19.1,11.6,511,25.55
192,12.2,382,19.1,11,511,25.55
193,13.4,382,19.1,12.2,511,25.55
194,11.6,382,19.1,12,511,25.55
195,13.8,382,19.1,11,511,25.55
196,13.8,382,19.1,11.7,511,25.55
197,12.6,382,19.1,12.4,511,25.55
198,13.8,382,19.1,12.4,511,25.55
199,14,382,19.1,12.4,511,25.55
200,13.6,382,19.1,11.7,511,25.55
201,13.8,382,19.1,12.6,511,25.55
202,13,382,19.1,11.8,511,25.55
203,12,382,19.1,11.4,511,25.55
204,13.1,382,19.1,11.6,511,25.55
205,12,382,19.1,12,511,25.55
206,12,382,19.1,11.8,511,25.55
207,16.2,382,19.1,12.5,511,25.55
208,14.2,382,19.1,12.2,511,25.55
209,14.4,382,19.1,13.6,511,25.55
210,13.2,382,19.1,11.8,511,25.55
211,13.4,382,19.1,12,511,25.55
212,13,382,19.1,10.6,511,25.55
213,12.8,382,19.1,9.2,511,25.55
214,13.6,382,19.1,10.6,511,25.55
215,13,382,19.1,11.1,511,25.55
216,14,382,19.1,11.8,511,25.55
217,13.2,382,19.1,10.6,511,25.55
218,12,382,19.1,11.2,511,25.55
219,11.8,382,19.1,10.4,511,25.55
220,12.4,382,19.1,10.6,511,25.55
221,12.8,382,19.1,10.5,511,25.55
222,10.6,382,19.1,10.8,511,25.55
223,14.4,382,19.1,11.6,511,25.55
224,12.6,382,19.1,11,511,25.55
225,11.4,382,19.1,7.6,511,25.55
226,11.2,382,19.1,9.4,511,25.55
227,11.6,382,19.1,9.8,511,25.55
228,11.4,382,19.1,10.5,511,25.55
229,10,382,19.1,12.2,511,25.55
230,10.6,382,19.1,8.4,511,25.55
231,10.6,382,19.1,8.8,511,25.55
232,10.7,382,19.1,8.2,511,25.55
233,12.2,382,19.1,10,511,25.55
234,11,382,19.1,9.4,511,25.55
235,11.8,382,19.1,9.7,511,25.55
236,10.4,382,19.1,7.6,511,25.55
237,10.4,382,19.1,10,511,25.55
238,10.8,382,19.1,8.2,511,25.55
239,9.3,382,19.1,6.8,511,25.55
240,9.8,382,19.1,8,511,25.55
241,9.2,382,19.1,8.4,511,25.55
242,9.2,382,19.1,8.7,511,25.55
243,9.6,382,19.1,8.7,511,25.55
244,8.8,382,19.1,8,511,25.55
245,9,382,19.1,7.2,511,25.55
246,9.6,382,19.1,7.4,511,25.55
247,8,382,19.1,7.4,511,25.55
248,9.8,382,19.1,3.4,511,25.55
249,9.6,382,19.1,7.4,511,25.55
250,8,382,19.1,7.2,511,25.55
251,9,382,19.1,7.6,511,25.55
252,10.8,382,19.1,6.8,511,25.55
253,7.9,382,19.1,7.4,511,25.55
254,9.4,382,19.1,7.6,511,25.55
255,9.5,382,19.1,6,511,25.55
256,9,382,19.1,6.2,511,25.55
257,8.2,382,19.1,6.8,511,25.55
258,6.8,382,19.1,6.4,511,25.55
259,6.2,382,19.1,6,511,25.55
260,9.2,382,19.1,7.2,511,25.55
261,7.2,382,19.1,6.8,511,25.55
262,6.8,382,19.1,5.2,511,25.55
263,7.6,382,19.1,5.9,511,25.55
264,7.4,382,19.1,5,511,25.55
