N299,AceradaNET299,PesoAcerada299,PopoAcerada299,LunitaNET299,PesoLunita299,PopoLunita299,SolNET299,PesoSol299,PopoSol299
1,7.2,416,41.6,10.2,435,43.5,9,316,31.6
2,14.1,416.2508279,41.62508279,4.8,432.7776214,43.27776214,7.6,316.1990269,31.61990269
3,12.5,416.5013738,41.65013738,6.8,430.5614229,43.05614229,8,316.3976333,31.63976333
4,15.5,416.7513555,41.67513555,5.4,428.3575843,42.83575843,7,316.5953985,31.65953985
5,9.2,417.0004911,41.70004911,8,426.1722859,42.61722859,4.6,316.7919019,31.67919019
6,15.8,417.2484985,41.72484985,0,424.0117074,42.40117074,10.2,316.986723,31.6986723
7,10.4,417.4950956,41.74950956,7,421.8820291,42.18820291,9,317.1794411,31.71794411
8,10,417.7400005,41.77400005,9.8,419.7894309,41.97894309,9.8,317.3696357,31.73696357
9,17,417.9829309,41.79829309,7,417.7400928,41.77400928,13.8,317.5568862,31.75568862
10,12.8,418.223605,41.8223605,9,415.7401949,41.57401949,9.2,317.740772,31.7740772
11,5,418.4617405,41.84617405,4,413.795917,41.3795917,11.2,317.9208725,31.79208725
12,16,418.6970556,41.86970556,11,411.9134394,41.19134394,9,318.0967672,31.80967672
13,13.8,418.9292681,41.89292681,5.6,410.098942,41.0098942,9.8,318.2680354,31.82680354
14,16.2,419.1580959,41.91580959,6,408.3586047,40.83586047,9.7,318.4342565,31.84342565
15,17,419.3832571,41.93832571,11.6,406.6986077,40.66986077,10.4,318.59501,31.859501
16,4,419.6044695,41.96044695,12.6,405.125131,40.5125131,12,318.7498753,31.87498753
17,16,419.8214512,41.98214512,13,403.6443544,40.36443544,10,318.8984318,31.88984318
18,16,420.0339201,42.00339201,11,402.2624582,40.22624582,9,319.0402589,31.90402589
19,16,420.241594,42.0241594,10.8,400.9856223,40.09856223,11.4,319.174936,31.9174936
20,17.6,420.444191,42.0444191,13,399.8200266,39.98200266,11,319.3020426,31.93020426
21,6.7,420.6414291,42.06414291,12.7,398.7718513,39.87718513,10,319.4211579,31.94211579
22,16.6,420.8330261,42.08330261,14.4,397.8472764,39.78472764,11.2,319.5318616,31.95318616
23,16.2,421.0187,42.10187,14.4,397.0524818,39.70524818,11.2,319.6337329,31.96337329
24,13,421.1981687,42.11981687,13.8,396.3936475,39.63936475,11,319.7263513,31.97263513
25,15.4,421.3711503,42.13711503,11.3,395.8769537,39.58769537,9.2,319.8092962,31.98092962
26,15,421.5373626,42.15373626,8.6,395.5085803,39.55085803,13,319.882147,31.9882147
27,16,421.6965236,42.16965236,11,395.2947073,39.52947073,12.4,319.9444831,31.99444831
28,16.6,421.8483513,42.18483513,11,395.2415148,39.52415148,12.6,319.995884,31.9995884
29,16.4,421.9925635,42.19925635,12,395.3551827,39.53551827,12.2,320.0365095,32.00365095
30,16.4,422.1288783,42.21288783,10.6,395.6418911,39.56418911,10.4,320.0695736,32.00695736
31,14,422.2570136,42.22570136,12,396.107799,39.6107799,9.8,320.0992912,32.00992912
32,12,422.3766873,42.23766873,13.2,396.7541637,39.67541637,11.8,320.1298774,32.01298774
33,17,422.4876175,42.24876175,11.8,397.571283,39.7571283,7,320.1655478,32.01655478
34,11.6,422.5895219,42.25895219,12,398.547982,39.8547982,9,320.2105176,32.02105176
35,9.6,422.6821187,42.26821187,13.4,399.6730856,39.96730856,12.2,320.2690022,32.02690022
36,18.2,422.7651256,42.27651256,13,400.935419,40.0935419,13,320.3452169,32.03452169
37,14.2,422.8382608,42.28382608,14,402.3238072,40.23238072,14,320.4433771,32.04433771
38,11,422.9012421,42.29012421,13,403.8270753,40.38270753,15,320.5676981,32.05676981
39,14.1,422.9537874,42.29537874,14,405.4340483,40.54340483,11.8,320.7223953,32.07223953
40,13.3,422.9956148,42.29956148,13.8,407.1335512,40.71335512,12.8,320.911684,32.0911684
41,16,423.0264422,42.30264422,11.6,408.9144093,40.89144093,13.4,321.1397795,32.11397795
42,16,423.0459875,42.30459875,11.8,410.7654474,41.07654474,11.2,321.4108973,32.14108973
43,15,423.0539686,42.30539686,11.2,412.6754906,41.26754906,10.4,321.7292527,32.17292527
44,15.2,423.0501036,42.30501036,13,414.6333641,41.46333641,12,322.0990609,32.20990609
45,14.2,423.0341103,42.30341103,13,416.6278929,41.66278929,10.6,322.5245374,32.25245374
46,15.6,423.0057067,42.30057067,12,418.6479019,41.86479019,10,323.0098975,32.30098975
47,14.6,422.9646108,42.29646108,11.1,420.6822164,42.06822164,8,323.5593566,32.35593566
48,14,422.9105405,42.29105405,12,422.7196613,42.27196613,9,324.17713,32.417713
49,15,422.8432138,42.28432138,12.2,424.7490617,42.47490617,8.8,324.867433,32.4867433
50,17.4,422.7623485,42.27623485,11.8,426.7592426,42.67592426,9.2,325.634481,32.5634481
51,14.6,422.6676628,42.26676628,12,428.7390292,42.87390292,9.8,326.4824893,32.64824893
52,14.4,422.5588744,42.25588744,12,430.6772464,43.06772464,9.4,327.4156733,32.74156733
53,15,422.4357013,42.24357013,11.8,432.5627193,43.25627193,12,328.4382484,32.84382484
54,16,422.2978616,42.22978616,10.4,434.3842731,43.43842731,9,329.5544298,32.95544298
55,14.4,422.1450731,42.21450731,11.6,436.1307326,43.61307326,8.4,330.768433,33.0768433
56,11.8,421.9770538,42.19770538,12,437.7909231,43.77909231,9.8,332.0831662,33.20831662
57,15,421.7935217,42.17935217,10.4,439.3536695,43.93536695,10.6,333.4924219,33.34924219
58,11.8,421.5941946,42.15941946,11,440.8077969,44.08077969,9.8,334.986111,33.4986111
59,12.2,421.3787905,42.13787905,12,442.1421304,44.21421304,9,336.55413,33.655413
60,13.4,421.1470275,42.11470275,12,443.3454951,44.33454951,8,338.1863752,33.81863752
61,15.8,420.8986341,42.08986341,9.4,444.4068989,44.44068989,9.4,339.8727431,33.98727431
62,17.4,420.6337705,42.06337705,8.5,445.3224181,44.53224181,9.4,341.6031301,34.16031301
63,13.6,420.3531585,42.03531585,10.8,446.097308,44.6097308,9.2,343.3674326,34.33674326
64,14.3,420.0575564,42.00575564,10,446.73744,44.673744,9.4,345.1555471,34.51555471
65,14.2,419.7477226,41.97477226,7.6,447.2486852,44.72486852,9,346.95737,34.695737
66,13,419.4244156,41.94244156,9.6,447.6369148,44.76369148,6,348.7627978,34.87627978
67,14.6,419.0883938,41.90883938,9.2,447.908,44.7908,8.6,350.5617268,35.05617268
68,15,418.7404156,41.87404156,11.8,448.0678119,44.80678119,7,352.3440536,35.23440536
69,12,418.3812394,41.83812394,5.4,448.1222217,44.81222217,9.4,354.0996745,35.40996745
70,13,418.0116236,41.80116236,9.6,448.0771005,44.80771005,6.8,355.8184859,35.58184859
71,13.8,417.6323268,41.76323268,7.4,447.9383196,44.79383196,7.7,357.4903844,35.74903844
72,13,417.2441072,41.72441072,8,447.7117502,44.77117502,9,359.1052663,35.91052663
73,13,416.8477234,41.68477234,8.2,447.4032633,44.74032633,9,360.6530281,36.06530281
74,10.8,416.4439337,41.64439337,10,447.0187302,44.70187302,8.2,362.1235662,36.21235662
75,8.4,416.0334965,41.60334965,8.4,446.5640221,44.65640221,7,363.506777,36.3506777
76,11.8,415.6171704,41.56171704,8,446.0450101,44.60450101,8.2,364.792557,36.4792557
77,11,415.1957137,41.51957137,10.4,445.4675654,44.54675654,8,365.9708026,36.59708026
78,13.4,414.7698848,41.47698848,9.8,444.8375591,44.48375591,7,367.0314103,36.70314103
79,11.6,414.3404421,41.43404421,10,444.1608625,44.41608625,8,367.9642764,36.79642764
80,11,413.9081441,41.39081441,9.6,443.4433467,44.34433467,6,368.7592974,36.87592974
81,12,413.4737493,41.34737493,10.3,442.690883,44.2690883,9.2,369.4063697,36.94063697
82,12.2,413.0380159,41.30380159,11,441.9093423,44.19093423,8,369.8953898,36.98953898
