N288,DianitaNET288,PesoDianita288,PopoDianita288,GinaNET288,PesoGina288,PopoGina288,JuanitaNET288,PesoJuanita288,PopoJuanita288,LuciaNET288,PesoLucia288,PopoLucia288,PachaNET288,PesoPacha288,PopoPacha288,SolNET288,PesoSol288,PopoSol288,VivianaNET288,PesoViviana288,PopoViviana28
1,11,428,42.8,29,378,37.8,8,435,43.5,16.6,370,37,19.6,382,38.2,11.6,316,31.6,5,421,42.1
2,12.2,428.4094134,42.84094134,18.9,379.650693,37.9650693,3.4,435.7161818,43.57161818,19.8,370.1861698,37.01861698,21,382.3479588,38.23479588,13,316.2066495,31.62066495,13.2,421.4399274,42.14399274
3,22,428.8199068,42.88199068,22,381.301363,38.1301363,6,436.4338231,43.64338231,16.6,370.3693431,37.03693431,13.8,382.6960643,38.26960643,16.6,316.4128281,31.64128281,13.2,421.878553,42.1878553
4,21,429.2325601,42.92325601,20.4,382.9519869,38.29519869,9.4,437.1543836,43.71543836,19,370.5465231,37.05465231,18.6,383.0444634,38.30444634,16.8,316.6180651,31.66180651,15.4,422.314575,42.2314575
5,21.6,429.6484533,42.96484533,20,384.6025418,38.46025418,7.2,437.8793227,43.78793227,18,370.7147135,37.07147135,18.8,383.3933028,38.33933028,18.7,316.8218896,31.68218896,17,422.7466916,42.27466916
6,22,430.0686663,43.00686663,17.6,386.2530045,38.62530045,10,438.6101,43.86101,16.4,370.8709176,37.08709176,21.2,383.7427293,38.37427293,16,317.0238308,31.70238308,13.6,423.1736011,42.31736011
7,22,430.494279,43.0494279,19,387.903352,38.7903352,7,439.348175,43.9348175,19.8,371.0121387,37.10121387,20,384.0928896,38.40928896,3,317.2234179,31.72234179,13.6,423.5940016,42.35940016
8,21,430.9263715,43.09263715,24.5,389.5535613,38.95535613,7.6,440.0950073,44.00950073,18.4,371.1353804,37.11353804,16.2,384.4439306,38.44439306,17.2,317.4201801,31.74201801,14.7,424.0065914,42.40065914
9,21,431.3660236,43.13660236,19,391.2036094,39.12036094,12.4,440.8520565,44.08520565,18,371.2376461,37.12376461,17.4,384.795999,38.4795999,20.4,317.6136465,31.76136465,16,424.4100686,42.44100686
10,20,431.8143154,43.18143154,30,392.8534733,39.28534733,9,441.6207821,44.16207821,19.4,371.3159392,37.13159392,15.4,385.1492417,38.51492417,20,317.8033463,31.78033463,14.8,424.8031315,42.48031315
11,21.4,432.2723268,43.22723268,22.4,394.5031298,39.45031298,8.6,442.4026436,44.24026436,17.6,371.3672631,37.13672631,20.2,385.5038052,38.55038052,18.2,317.9888086,31.79888086,17.2,425.1844783,42.51844783
12,19.6,432.7411377,43.27411377,23,396.152556,39.6152556,6.2,443.1991007,44.31991007,19.2,371.3886212,37.13886212,14.8,385.8598365,38.58598365,15.6,318.1695627,31.81695627,18.2,425.5528072,42.55528072
13,20.4,433.2218281,43.32218281,21.5,397.8017288,39.78017288,8,444.0116127,44.40116127,20,371.3770169,37.13770169,16.8,386.2174824,38.62174824,6.2,318.3451378,31.83451378,15.6,425.9068164,42.59068164
14,15,433.7154779,43.37154779,11.8,399.4506253,39.94506253,9,444.8416394,44.48416394,18.2,371.3294538,37.13294538,18.4,386.5768895,38.65768895,12.2,318.5150629,31.85150629,18.2,426.2452041,42.62452041
15,20.4,434.2231671,43.42231671,24,401.0992223,40.10992223,9,445.6906402,44.56906402,19.4,371.2429351,37.12429351,22.4,386.9382046,38.69382046,14.8,318.6788674,31.86788674,18.6,426.5666685,42.65666685
16,21.2,434.7459757,43.47459757,24.4,402.7474968,40.27474968,10.6,446.5600748,44.65600748,19.4,371.1144644,37.11144644,17.4,387.3015746,38.73015746,14.8,318.8360803,31.88360803,17.4,426.8699078,42.68699078
17,19,435.2849836,43.52849836,24.6,404.3954259,40.43954259,9,447.4514025,44.74514025,15.8,370.9410451,37.09410451,15.2,387.6671462,38.76671462,16.2,318.9862308,31.89862308,17.2,427.1536202,42.71536202
18,20,435.8412707,43.58412707,23.1,406.0429864,40.60429864,10.8,448.3660831,44.83660831,18,370.7196805,37.07196805,14,388.0350662,38.80350662,16,319.1288481,31.91288481,16.2,427.416504,42.7416504
19,22.2,436.4159171,43.64159171,22.1,407.6901554,40.76901554,8.6,449.305576,44.9305576,18,370.4473741,37.04473741,13,388.4054813,38.84054813,13.8,319.2634614,31.92634614,16,427.6572574,42.76572574
20,14.9,437.0100026,43.70100026,24.8,409.3369098,40.93369098,8.4,450.2713408,45.02713408,17.6,370.1211293,37.01211293,15.2,388.7785383,38.87785383,15.6,319.3895999,31.93895999,16,427.8745785,42.78745785
21,21,437.6246072,43.76246072,25.2,410.9832265,41.09832265,8.8,451.264837,45.1264837,18,369.7379496,36.97379496,18.8,389.1543841,38.91543841,16.6,319.5067927,31.95067927,11.1,428.0671656,42.80671656
22,14.6,438.2608109,43.82608109,25,412.6290826,41.26290826,8.3,452.2875243,45.22875243,20,369.2948384,36.92948384,16.4,389.5331653,38.95331653,19,319.614569,31.9614569,18.2,428.2337169,42.82337169
23,25.2,438.9196937,43.89196937,20.2,414.274455,41.4274455,9,453.3408621,45.33408621,18,368.788799,36.8788799,16.4,389.9150288,38.99150288,15.6,319.712458,31.9712458,15,428.3729305,42.83729305
24,23,439.6023354,43.96023354,23.2,415.9193206,41.59193206,9,454.42631,45.442631,17.2,368.216835,36.8216835,16.6,390.3001213,39.03001213,13.4,319.7999889,31.97999889,13.8,428.4835048,42.84835048
25,22,440.309816,44.0309816,24,417.5636565,41.75636565,9,455.5453275,45.55453275,15,367.5759497,36.75759497,16.6,390.6885895,39.06885895,14.6,319.8766908,31.98766908,16,428.5641378,42.85641378
26,22.8,441.0432156,44.10432156,20.5,419.2074396,41.92074396,8,456.6993742,45.66993742,17,366.8631466,36.68631466,10.8,391.0805804,39.10805804,13.8,319.9420929,31.99420929,14.4,428.6135279,42.86135279
27,22.6,441.803614,44.1803614,18.2,420.8506469,42.08506469,8.8,457.8899097,45.78899097,18,366.075429,36.6075429,17,391.4762406,39.14762406,16.8,319.9957243,31.99957243,10.6,428.6303732,42.86303732
28,21.6,442.5920911,44.25920911,15.6,422.4928567,42.24928567,7.4,459.1171894,45.91171894,19,365.2116959,36.52116959,19.2,391.8757169,39.18757169,17,320.0377642,32.00377642,16,428.6133719,42.86133719
29,20,443.4097271,44.34097271,19,424.1314994,42.41314994,9,460.3749949,46.03749949,19,364.2806404,36.42806404,15.4,392.2791561,39.22791561,16.4,320.0718104,32.00718104,15.2,428.5612223,42.85612223
30,22.6,444.2575863,44.42575863,20.2,425.7633117,42.57633117,6.3,461.6550143,46.16550143,20,363.2942004,36.32942004,21.4,392.6867049,39.26867049,17.2,320.1025811,32.01025811,16,428.4726225,42.84726225
31,18.8,445.1355376,44.51355376,21,427.3850303,42.73850303,7.8,462.948936,46.2948936,19.2,362.2643181,36.22643181,21.2,393.0985102,39.30985102,16.8,320.1347951,32.01347951,15.4,428.3462708,42.83462708
32,21,446.0414233,44.60414233,20.8,428.9933923,42.89933923,6.2,464.2484487,46.42484487,19.2,361.2029358,36.12029358,20.4,393.5147187,39.35147187,16.6,320.1731712,32.01731712,11.6,428.1808653,42.81808653
33,22,446.9728893,44.69728893,19,430.5851346,43.05851346,8.6,465.545241,46.5545241,19,360.1219959,36.01219959,18.2,393.9354772,39.39354772,18.2,320.2224285,32.02224285,16.8,427.9751045,42.79751045
34,20,447.9275815,44.79275815,24,432.156994,43.2156994,9,466.8310016,46.68310016,16.2,359.0334405,35.90334405,18.2,394.3609324,39.43609324,18,320.2872856,32.02872856,14.8,427.7288689,42.77288689
35,20.8,448.9031459,44.89031459,24,433.7057074,43.37057074,7.6,468.0974189,46.80974189,18.2,357.949212,35.7949212,22,394.7912312,39.47912312,19.6,320.3724614,32.03724614,16,427.4454748,42.74454748
36,23,449.8972284,44.98972284,19.65,435.2280118,43.52280118,8,469.3361816,46.93361816,18.8,356.8812526,35.68812526,22,395.2265202,39.52265202,13.8,320.4826749,32.04826749,17.2,427.1288406,42.71288406
37,28,450.9074749,45.09074749,18,436.7206441,43.67206441,9,470.5389784,47.05389784,18.4,355.8415046,35.58415046,19.6,395.6669464,39.56669464,20.6,320.6226448,32.06226448,17.8,426.7828852,42.67828852
38,24,451.9315314,45.19315314,22,438.1803412,43.81803412,9,471.6974978,47.16974978,21,354.8419102,35.48419102,20.8,396.1126564,39.61126564,18.2,320.79709,32.079709,14.2,426.411527,42.6411527
39,21.4,452.9670438,45.29670438,20,439.60384,43.960384,10,472.8034284,47.28034284,19.4,353.8944119,35.38944119,18,396.563797,39.6563797,17.4,321.0107293,32.10107293,18.8,426.0186848,42.60186848
40,21.6,454.011658,45.4011658,23,440.9878773,44.09878773,9,473.8484589,47.38484589,15.6,353.0109517,35.30109517,18.2,397.020515,39.7020515,20.8,321.2682817,32.12682817,19.8,425.6082773,42.56082773
41,24.4,455.0630199,45.50630199,19.5,442.3291903,44.23291903,10,474.8242778,47.48242778,19,352.2034721,35.22034721,10,397.4829572,39.74829572,17.8,321.574466,32.1574466,16.2,425.1842229,42.51842229
