N309,Fer0daNET309,PesoFernanda309,PopoFernanda309,GuapaNET309,PesoGuapa309,PopoGuapa309,JuanitaNET309,PesoJuanita309,PopoJuanita309,LeticiaNET309,PesoLeticia309,PopoLeticia309,MartinaNET309,PesoMartina309,PopoMartina309,MorocaNET309,PesoMorocha309,PopoMorocha309,SolNET309,PesoSol309,PopoSol309
1,19,378,37.8,19,343,34.3,13.4,435,43.5,16.4,464,46.4,0,369,36.9,12.8,444,44.4,16.4,316,31.6
2,25.6,376.7595154,37.67595154,20.8,348.8213594,34.88213594,6,435.6673214,43.56673214,19.2,462.4599902,46.24599902,0,368.9725758,36.89725758,23,444.2461983,44.42461983,13.4,316.1925694,31.61925694
3,22,375.5311683,37.55311683,16,354.6244466,35.46244466,13,436.3358236,43.63358236,17.6,460.9206453,46.09206453,0,368.9451179,36.89451179,38,444.4908378,44.44908378,13.2,316.3847578,31.63847578
4,21,374.3270962,37.43270962,22,360.3909893,36.03909893,11,437.0066877,43.70066877,16.2,459.3826301,45.93826301,0,368.9175927,36.89175927,22,444.7323596,44.47323596,16,316.5761843,31.65761843
5,3,373.1594366,37.31594366,20.2,366.1027153,36.61027153,14,437.6810944,43.76810944,17.2,457.8466096,45.78466096,0,368.8899665,36.88899665,25.4,444.9692051,44.49692051,13.7,316.7664681,31.67664681
6,22.6,372.040327,37.2040327,20,371.7413524,37.17413524,16,438.3602248,43.83602248,17,456.3132485,45.63132485,0,368.8622057,36.88622057,24,445.1998153,44.51998153,15.2,316.9552281,31.69552281
7,10.3,370.9819048,37.09819048,22,377.2886284,37.72886284,14.8,439.0452596,43.90452596,18.2,454.7832118,45.47832118,0,368.8342767,36.88342767,22,445.4226314,44.54226314,15.2,317.1420834,31.71420834
8,25.8,369.9963075,36.99963075,23.2,382.726271,38.2726271,5.8,439.7373798,43.97373798,18.6,453.2571643,45.32571643,10.8,368.8061457,36.88061457,23.2,445.6360947,44.56360947,11.6,317.3266531,31.73266531
9,25.4,369.0956728,36.90956728,20.8,388.036008,38.8036008,14.8,440.4377663,44.04377663,20,451.7357709,45.17357709,10,368.7777792,36.87777792,25.6,445.8386463,44.58386463,13.2,317.5085562,31.75085562
10,24.3,368.2921379,36.82921379,21.8,393.1995672,39.31995672,8.4,441.1476,44.11476,19.8,450.2196965,45.02196965,17.2,368.7491435,36.87491435,26.8,446.0287275,44.60287275,12.8,317.6874119,31.76874119
11,22.3,367.5978405,36.75978405,16,398.1986763,39.81986763,9,441.8680618,44.18680618,20.2,448.709606,44.8709606,23,368.7202049,36.87202049,23,446.2047794,44.62047794,10,317.8628391,31.78628391
12,24.2,367.024918,36.7024918,19.8,403.0150632,40.30150632,8,442.6003325,44.26003325,15.4,447.2061641,44.72061641,22.5,368.6909298,36.86909298,32.5,446.3652432,44.63652432,10.4,318.0344569,31.80344569
13,27,366.5855079,36.65855079,14,407.6304555,40.76304555,14,443.3455932,44.33455932,21.6,445.7100358,44.57100358,23,368.6612845,36.86612845,27.2,446.5085601,44.65085601,12.2,318.2018845,31.82018845
14,26.6,366.2917478,36.62917478,25,412.0265811,41.20265811,15.6,444.1050246,44.41050246,18,444.221886,44.4221886,20.7,368.6312353,36.86312353,24.2,446.6331713,44.66331713,13.8,318.3647408,31.83647408
15,27,366.155775,36.6155775,23,416.1851678,41.61851678,12,444.8798077,44.48798077,20.6,442.7423795,44.27423795,19.2,368.6007487,36.86007487,25.8,446.7375179,44.67375179,12.4,318.5226449,31.85226449
