N274,CentavitoNET274,PesoCentavito274,PopoCentavito274,DianitaNET274,PesoDianita274,PopoDianita274,LeticiaNET274,PesoLeticia274,PopoLeticia274,MorochaNET274,PesoMorocha274,PopoMorocha274,MuchiraNET274,PesoMuchira274,PopoMuchira274,SorayaNET274,PesoSoraya274,PopoSoraya274,VivianaNET274,PesoViviana274,PopoViviana274
1,6,370,37,11,428,42.8,13.8,464,46.4,12.6,444,44.4,15.8,331,33.1,4.4,466,46.6,10.2,421,42.1
2,7.8,369.5143046,36.95143046,12.4,428.4304289,42.84304289,13.4,462.2625872,46.22625872,18.4,444.2776822,44.42776822,14,331.4703406,33.14703406,4.2,465.5421387,46.55421387,5.8,421.4624638,42.14624638
3,5.5,369.0287222,36.90287222,12.2,428.8621126,42.88621126,14.2,460.5261291,46.05261291,16.2,444.5531259,44.45531259,20.4,331.9407464,33.19407464,4.8,465.0843623,46.50843623,8.8,421.923415,42.1923415
4,6.6,368.5433659,36.85433659,11.4,429.2963058,42.92963058,15,458.7915806,45.87915806,15.3,444.8240926,44.48240926,16.2,332.4112828,33.24112828,4.8,464.6267558,46.46267558,12.2,422.3813413,42.23813413
5,11.6,368.0583488,36.80583488,11.6,429.7342633,42.97342633,15,457.0598965,45.70598965,11.6,445.0883438,44.50883438,12.3,332.8820151,33.28820151,3.4,464.1694041,46.41694041,11.4,422.83473,42.283473
6,9.4,367.573784,36.7573784,12.8,430.1772399,43.01772399,13,455.3320314,45.53320314,18.4,445.343641,44.5343641,15.2,333.3530085,33.33530085,4.2,463.7123921,46.37123921,4.2,423.2820686,42.32820686
7,11,367.0897845,36.70897845,10.6,430.6264903,43.06264903,13.4,453.6089403,45.36089403,13.8,445.5877457,44.55877457,13.6,333.8243284,33.38243284,2.4,463.2558047,46.32558047,9.4,423.7218447,42.37218447
8,12.6,366.6064634,36.66064634,11,431.0832693,43.10832693,14.6,451.8915777,45.18915777,15.2,445.8184194,44.58184194,18.6,334.2960401,33.42960401,13,462.7997269,46.27997269,10.2,424.1525457,42.41525457
9,10.4,366.1239336,36.61239336,12,431.5488316,43.15488316,13.6,450.1808987,45.01808987,14.8,446.0334236,44.60334236,19.4,334.7682087,33.47682087,10.6,462.3442436,46.23442436,13,424.5726591,42.45726591
10,9.8,365.6423084,36.56423084,12,432.0244321,43.20244321,14,448.4778578,44.84778578,17.2,446.2305198,44.62305198,19,335.2408997,33.52408997,11.2,461.8894397,46.18894397,16.4,424.9806724,42.49806724
11,11.9,365.1617008,36.51617008,10,432.5113255,43.25113255,15.6,446.7834099,44.67834099,17,446.4074694,44.64074694,16,335.7141782,33.57141782,12.2,461.4354002,46.14354002,16.8,425.3750731,42.53750731
12,10.2,364.6822237,36.46822237,12,433.0107666,43.30107666,16.4,445.0985098,44.50985098,13,446.5620341,44.65620341,15.6,336.1881097,33.61881097,11.1,460.98221,46.098221,17.2,425.7543487,42.57543487
