N298,AndreaNET298,PesoAndrea298,PopoAndrea298,GuapaNET298,PesoGuapa298,PopoGuapa298
1,16.8,331,33.1,0,343,34.3
2,15.2,330.8520632,33.08520632,0,349.036727,34.9036727
3,9.4,330.7205896,33.07205896,0,355.0530754,35.50530754
4,8.6,330.622042,33.0622042,0,361.0286667,36.10286667
5,13,330.5728836,33.05728836,0,366.9431221,36.69431221
6,5.6,330.5895775,33.05895775,0,372.7760632,37.27760632
7,17.2,330.6885867,33.06885867,0,378.5071112,37.85071112
8,15.4,330.8863742,33.08863742,0,384.1158877,38.41158877
9,12.6,331.1994032,33.11994032,0,389.582014,38.9582014
10,8,331.6441367,33.16441367,0,394.8851114,39.48851114
11,6.4,332.2370378,33.22370378,0,400.0048016,40.00048016
12,17.4,332.9945695,33.29945695,0,404.9207057,40.49207057
13,15.2,333.9331949,33.39331949,0,409.6124452,40.96124452
14,15.2,335.069377,33.5069377,11,414.0596416,41.40596416
15,19.2,336.4195789,33.64195789,18.4,418.2419162,41.82419162
16,19.6,338.0002637,33.80002637,11.4,422.1388904,42.21388904
17,21.8,339.8278945,33.98278945,14.2,425.7301857,42.57301857
18,20,341.9189342,34.19189342,18.8,428.9954234,42.89954234
19,21,344.289846,34.4289846,18.2,431.9142249,43.19142249
20,15.8,346.957093,34.6957093,17.2,434.4662116,43.44662116
21,20.2,349.9371381,34.99371381,16,436.631005,43.6631005
22,16,353.2464445,35.32464445,17.4,438.3882265,43.83882265
23,17.3,356.8965379,35.68965379,16.8,439.7174973,43.97174973
24,16.2,360.8607336,36.08607336,17.2,440.598439,44.0598439
25,16.4,365.094523,36.5094523,10.8,441.010673,44.1010673
26,13.8,369.5532973,36.95532973,13,440.9339741,44.09339741
27,11.4,374.1924479,37.41924479,12.2,440.366693,44.0366693
28,17.8,378.967366,37.8967366,15.2,439.3432569,43.93432569
29,14.4,383.8334428,38.38334428,15,437.9022383,43.79022383
30,18.2,388.7460698,38.87460698,13.4,436.0822093,43.60822093
31,15,393.6606381,39.36606381,15.1,433.9217423,43.39217423
32,17.6,398.532539,39.8532539,15.4,431.4594096,43.14594096
33,20.6,403.3171638,40.33171638,16.4,428.7337834,42.87337834
34,19.4,407.9699037,40.79699037,15.8,425.7834362,42.57834362
35,14.4,412.4461502,41.24461502,16,422.6469402,42.26469402
36,14.6,416.7012943,41.67012943,13.8,419.3628676,41.93628676
37,9,420.6907275,42.06907275,15.2,415.9697909,41.59697909
38,20.4,424.369841,42.4369841,15.6,412.5062822,41.25062822
39,22.4,427.694026,42.7694026,12.7,409.010914,40.9010914
40,19.6,430.6186739,43.06186739,14.6,405.5222585,40.55222585
41,22,433.0991759,43.30991759,11.4,402.078888,40.2078888
42,17,435.0909233,43.50909233,11.4,398.7193747,39.87193747
43,20.8,436.5493074,43.65493074,13,395.4822912,39.54822912
44,18.8,437.43245,43.743245,13.2,392.4062095,39.24062095
45,20,437.7443379,43.77443379,17.2,389.529702,38.9529702
46,20,437.5270153,43.75270153,18,386.8913411,38.68913411
47,19.8,436.8236783,43.68236783,17,384.529699,38.4529699
48,16,435.6775228,43.56775228,17.2,382.483348,38.2483348
49,22,434.1317451,43.41317451,7.2,380.7908605,38.07908605
50,20.6,432.229541,43.2229541,15.6,379.4908087,37.94908087
51,3.6,430.0141068,43.00141068,20.4,378.6203682,37.86203682
52,19,427.5286384,42.75286384,15.4,378.1841092,37.81841092
53,21,424.816332,42.4816332,12.6,378.1539967,37.81539967
54,10.2,421.9203836,42.19203836,21.6,378.5005986,37.85005986
55,13.6,418.8839893,41.88839893,15.4,379.1944832,37.91944832
56,14.8,415.7503451,41.57503451,14.8,380.2062186,38.02062186
57,24.4,412.5626471,41.25626471,15.8,381.5063728,38.15063728
58,19,409.3640915,40.93640915,12,383.0655141,38.30655141
59,19.2,406.1978741,40.61978741,13,384.8542106,38.48542106
60,21.8,403.1071912,40.31071912,2.4,386.8430303,38.68430303
61,6.4,400.1352388,40.01352388,10.4,389.0025415,38.90025415
62,15.8,397.3252129,39.73252129,6.2,391.3033122,39.13033122
63,4.8,394.7203096,39.47203096,11.6,393.7159106,39.37159106
64,12.2,392.3637251,39.23637251,17,396.2109048,39.62109048
65,11,390.2982502,39.02982502,15,398.7588629,39.87588629
66,11.4,388.5458752,38.85458752,16,401.3303532,40.13303532
67,20.6,387.0983211,38.70983211,16,403.8959436,40.38959436
68,22.8,385.9449311,38.59449311,16.4,406.4262023,40.64262023
69,19.4,385.0750482,38.50750482,16.4,408.8916975,40.88916975
70,14.2,384.4780156,38.44780156,17.4,411.2629973,41.12629973
71,21.4,384.1431767,38.41431767,16.4,413.5106698,41.35106698
72,19,384.0598745,38.40598745,14.8,415.6052831,41.56052831
73,12.2,384.2174522,38.42174522,16.8,417.5174055,41.75174055
74,15.4,384.605253,38.4605253,14.4,419.2176049,41.92176049
75,17.2,385.2126201,38.52126201,13,420.6764496,42.06764496
76,15.6,386.0288966,38.60288966,14,421.8684846,42.18684846
77,14.4,387.0434259,38.70434259,13.1,422.8027136,42.28027136
78,15.2,388.2455509,38.82455509,14.31,423.5059007,42.35059007
79,16.6,389.6246149,38.96246149,14.2,424.0049616,42.40049616
80,12.8,391.1699612,39.11699612,13.8,424.3268122,42.43268122
81,16.8,392.8709328,39.28709328,15.8,424.4983683,42.44983683
82,16,394.7168729,39.47168729,21,424.5465457,42.45465457
83,12.6,396.6971248,39.66971248,15.4,424.4982602,42.44982602
84,9.3,398.8010317,39.88010317,15.4,424.3804276,42.43804276
85,13.6,401.0179366,40.10179366,16.2,424.2199638,42.42199638
86,15.5,403.3371785,40.33371785,13.4,424.0437844,42.40437844
87,16,405.7460865,40.57460865,16,423.8788053,42.38788053
88,16.4,408.226723,40.8226723,12.2,423.7519424,42.37519424
89,14.8,410.7602948,41.07602948,13.6,423.6901115,42.36901115
90,15,413.3280081,41.33280081,14.2,423.7202283,42.37202283
91,12.8,415.9110697,41.59110697,19,423.8692086,42.38692086
92,14,418.490686,41.8490686,18.8,424.1639683,42.41639683
93,13.6,421.0480636,42.10480636,18.8,424.6314232,42.46314232
94,13.4,423.5644089,42.35644089,18.2,425.2984891,42.52984891
95,16.4,426.0209285,42.60209285,18.6,426.1920817,42.61920817
96,9.8,428.3988289,42.83988289,19.2,427.339117,42.7339117
97,14.2,430.6793167,43.06793167,18.8,428.7665106,42.87665106
98,16.2,432.8435984,43.28435984,18,430.5011784,43.05011784
99,14.5,434.8728805,43.48728805,19.4,432.5700363,43.25700363
100,16.6,436.7483696,43.67483696,15.6,435,43.5
101,15,438.4512721,43.84512721,19.2,437.8066246,43.78066246
102,16,439.9627946,43.99627946,17.8,440.9602409,44.09602409
103,15.2,441.2641436,44.12641436,4.2,444.4198191,44.44198191
104,15.8,442.3365256,44.23365256,18,448.1443291,44.81443291
105,14.4,443.1611473,44.31611473,17,452.0927412,45.20927412
106,11.2,443.719215,44.3719215,14,456.2240255,45.62240255
107,9.2,443.9919354,44.39919354,13.8,460.4971519,46.04971519
108,0,443.9678645,44.39678645,13.4,464.8710907,46.48710907
109,11,443.6719136,44.36719136,15.18,469.3048118,46.93048118
110,13.6,443.1402619,44.31402619,21,473.7572855,47.37572855
111,15.2,442.4090928,44.24090928,14.8,478.1874818,47.81874818
