Acer299,Lun299,Sol299
416,435,316
416.2979324,433.4440229,316.1447749
416.5953848,431.8901653,316.2893879
416.8918772,430.3405468,316.4336773
417.1869296,428.7972871,316.5774814
417.480062,427.2625056,316.7206382
417.7707944,425.7383218,316.8629859
418.0586469,424.2268555,317.0043629
418.3431393,422.7302261,317.1446072
418.6237918,421.2505532,317.283557
418.9001243,419.7899563,317.4210506
419.1716568,418.3505551,317.5569261
419.4379094,416.934469,317.6910218
419.6984019,415.5438177,317.8231758
419.9526545,414.1807207,317.9532263
420.2001872,412.8472976,318.0810116
420.4405199,411.5456678,318.2063698
420.6731726,410.2779511,318.329139
420.8976653,409.0462669,318.4491576
421.1135181,407.8527349,318.5662637
421.320251,406.6994745,318.6802954
421.5173838,405.5886053,318.7910911
421.7044368,404.5222469,318.8984888
421.8809298,403.5025189,319.0023268
422.0463828,402.5315409,319.1024432
422.2003159,401.6114323,319.1986764
422.3422491,400.7443127,319.2908643
422.4717023,399.9323018,319.3788454
422.5881956,399.177519,319.4624576
422.6912489,398.4820839,319.5415393
422.7803824,397.8481162,319.6159287
422.8551158,397.2777353,319.6854638
422.9149694,396.7730608,319.749983
422.9594631,396.3362123,319.8093244
422.9881168,395.9693093,319.8633262
423.0004506,395.6744715,319.9118267
422.9959845,395.4538183,319.9546639
422.9742384,395.3094693,319.9916761
422.9347325,395.2435441,320.0228269
422.8769866,395.2581623,320.0491712
422.8005209,395.3554433,320.0723262
422.7048552,395.5375069,320.0939133
422.5895096,395.8064725,320.1155542
422.4540041,396.1643827,320.1388706
422.2978588,396.6107,320.1654839
422.1205935,397.1417756,320.1970159
421.9217283,397.7537776,320.2350882
421.7007833,398.4428738,320.2813224
421.4572784,399.2052322,320.3373401
421.1907335,400.0370207,320.4047629
420.9006796,400.9344072,320.4852124
420.587297,401.8935597,320.5803103
420.2517726,402.9106461,320.6916781
419.8953801,403.9818344,320.8209375
419.5193931,405.1032924,320.9697102
419.1250852,406.271188,321.1396176
418.71373,407.4816893,321.3322815
418.2866011,408.7309642,321.5493234
417.8449722,410.0151805,321.792365
417.3901167,411.3305062,322.0630279
416.9233085,412.6731093,322.3629337
416.445821,414.0391576,322.6937041
415.9589278,415.4248191,323.0569605
415.4639027,416.8262617,323.4543248
414.9620191,418.2396535,323.8874183
414.4545507,419.6611621,324.3578629
413.9427711,421.0869558,324.8672801
413.427954,422.5132022,325.4172915
412.9113729,423.9360694,326.0095188
412.3943014,425.3517254,326.6455835
411.8780132,426.756338,327.3271073
411.3637819,428.1460751,328.0557118
410.852881,429.5171047,328.8330186
410.3465842,430.8655948,329.6606493
409.8461651,432.1877132,330.5402255
409.3528973,433.4796279,331.4732546
408.8680544,434.7375069,332.4586037
408.3929101,435.9575179,333.4925005
407.9287379,437.1358291,334.5710579
407.4768114,438.2686082,335.6903892
407.0384043,439.3520233,336.8466074
406.6147902,440.3822423,338.0358256
406.2072426,441.355433,339.254157
405.8170352,442.2677635,340.4977145
405.4454417,443.1154016,341.7626114
405.0937355,443.8945153,343.0449606
404.7631904,444.6018863,344.3408754
404.4550799,445.2380794,345.6464687
404.1706776,445.8051019,346.9578538
403.9112572,446.304964,348.2711437
403.6780922,446.739676,349.5824515
403.4724564,447.1112482,350.8878902
