NNP1,SolNET,LunitaNET,AceradaNET,SolAM,LunitaAM,AceradaAM,SolPM,LunitaPM,AceradaPM
1,9,10.2,7.2,5,6,4.8,4,4.2,2.4
2,7.6,4.8,14.1,6,0,6.2,1.6,4.8,7.9
3,8,6.8,12.5,6,6.8,5,2,0,7.5
4,7,5.4,15.5,5,5.4,7,2,0,8.5
5,4.6,8,9.2,2,8,5.2,2.6,0,4
6,10.2,0,15.8,7.2,0,5.8,3,0,10
7,9,7,10.4,7,5,5.8,2,2,4.6
8,9.8,9.8,10,7.6,6.8,0,2.2,3,10
9,13.8,7,17,10.6,7,6,3.2,0,11
10,9.2,9,12.8,6,6,3.8,3.2,3,9
11,11.2,4,5,7.2,0,1,4,4,4
12,9,11,16,6,7,5,3,4,11
13,9.8,5.6,13.8,5.8,2,6.4,4,3.6,7.4
14,9.7,6,16.2,7.4,1,6,2.3,5,10.2
15,10.4,11.6,17,7.4,7,6,3,4.6,11
16,12,12.6,4,8,9,2,4,3.6,2
17,10,13,16,7,9,6,3,4,10
18,9,11,16,6,8,5,3,3,11
19,11.4,10.8,16,9,9.8,7,2.4,1,9
20,11,13,17.6,6,9,6.6,5,4,11
21,10,12.7,6.7,8,8.2,5.6,2,4.5,1.1
22,11.2,14.4,16.6,7.2,8.4,6.4,4,6,10.2
23,11.2,14.4,16.2,6.8,9,7,4.4,5.4,9.2
24,11,13.8,13,6,9,3,5,4.8,10
25,9.2,11.3,15.4,7,7.8,6,2.2,3.5,9.4
26,13,8.6,15,8,5.4,4,5,3.2,11
27,12.4,11,16,8,8,5,4.4,3,11
28,12.6,11,16.6,8.4,7,6,4.2,4,10.6
29,12.2,12,16.4,8.4,8,6,3.8,4,10.4
30,10.4,10.6,16.4,7.2,7.4,5.4,3.2,3.2,11
31,9.8,12,14,6.8,9,5,3,3,9
32,11.8,13.2,12,8,8.2,4,3.8,5,8
33,7,11.8,17,5,8.2,6,2,3.6,11
34,9,12,11.6,6.2,9,4.4,2.8,3,7.2
35,12.2,13.4,9.6,8,9.4,6,4.2,4,3.6
36,13,13,18.2,9,9,8.2,4,4,10
37,14,14,14.2,9,9,3.2,5,5,11
38,15,13,11,10,8,5,5,5,6
39,11.8,14,14.1,4.8,10,4.1,7,4,10
40,12.8,13.8,13.3,9.8,9,5,3,4.8,8.3
41,13.4,11.6,16,8.4,8,6.6,5,3.6,9.4
42,11.2,11.8,16,7.2,8,6,4,3.8,10
43,10.4,11.2,15,7,7.2,4,3.4,4,11
44,12,13,15.2,7,8,5,5,5,10.2
45,10.6,13,14.2,6.6,9,5.2,4,4,9
46,10,12,15.6,6,8,5,4,4,10.6
47,8,11.1,14.6,6,8.8,4.8,2,2.3,9.8
48,9,12,14,6,8,5,3,4,9
49,8.8,12.2,15,6,8,6,2.8,4.2,9
50,9.2,11.8,17.4,6,8,7,3.2,3.8,10.4
51,9.8,12,14.6,6,8,4.2,3.8,4,10.4
52,9.4,12,14.4,6.2,8,4.6,3.2,4,9.8
53,12,11.8,15,7,7.8,5,5,4,10
54,9,10.4,16,6,6.4,5,3,4,11
55,8.4,11.6,14.4,5.4,8,5,3,3.6,9.4
56,9.8,12,11.8,6,8,3.4,3.8,4,8.4
57,10.6,10.4,15,6,7.4,5,4.6,3,10
58,9.8,11,11.8,6,7,3.4,3.8,4,8.4
59,9,12,12.2,6,8,4.2,3,4,8
60,8,12,13.4,6,7.2,4.4,2,4.8,9
61,9.4,9.4,15.8,4,6.4,6.8,5.4,3,9
62,9.4,8.5,17.4,6,5.5,7.4,3.4,3,10
63,9.2,10.8,13.6,6.2,7.4,4,3,3.4,9.6
