NNP2,GinaNET,JuanitaNET,VivianaNET,DianitaNET,LuciaNET,SolNET,PachaNET,GinaAM,JuanitaAM,VivianaAM,DianitaAM,LuciaAM,SolAM,PachaAM,GinaPM,JuanitaPM,VivianaPM,DianitaPM,LuciaPM,SolPM,PachaPM
1,29,8,5,11,16.6,11.6,19.6,22,8,2.4,4,8,6.6,12.8,7,0,2.6,7,8.6,5,6.8
2,18.9,3.4,13.2,12.2,19.8,13,21,14,2,4,3,15,8,11.4,4.9,1.4,9.2,9.2,4.8,5,9.6
3,22,6,13.2,22,16.6,16.6,13.8,15,3.6,4,10,10,8.6,9.6,7,2.4,9.2,12,6.6,8,4.2
4,20.4,9.4,15.4,21,19,16.8,18.6,13.4,7.4,6.4,6,11,8.2,10.8,7,2,9,15,8,8.6,7.8
5,20,7.2,17,21.6,18,18.7,18.8,14,4.2,6,7.6,12,10.1,11.2,6,3,11,14,6,8.6,7.6
6,17.6,10,13.6,22,16.4,16,21.2,10.4,5.4,5.4,7,11.2,8.8,14,7.2,4.6,8.2,15,5.2,7.2,7.2
7,19,7,13.6,22,19.8,3,20,13,5,5.2,6,14,0,12.6,6,2,8.4,16,5.8,3,7.4
8,24.5,7.6,14.7,21,18.4,17.2,16.2,15.5,5.6,5.4,7,12,6,10.4,9,2,9.3,14,6.4,11.2,5.8
9,19,12.4,16,21,18,20.4,17.4,12,8.4,5,8,12,11.4,10.8,7,4,11,13,6,9,6.6
10,30,9,14.8,20,19.4,20,15.4,19,5,5.2,6,13,12,9.2,11,4,9.6,14,6.4,8,6.2
11,22.4,8.6,17.2,21.4,17.6,18.2,20.2,15.4,4.4,5.2,8,12.6,9,13,7,4.2,12,13.4,5,9.2,7.2
12,23,6.2,18.2,19.6,19.2,15.6,14.8,15,4.2,8.2,7.4,13,7.7,9.6,8,2,10,12.2,6.2,7.9,5.2
13,21.5,8,15.6,20.4,20,6.2,16.8,15.4,5,5.8,7,13,0,12,6.1,3,9.8,13.4,7,6.2,4.8
14,11.8,9,18.2,15,18.2,12.2,18.4,5.8,7,6.8,5,12.2,5.2,12,6,2,11.4,10,6,7,6.4
15,24,9,18.6,20.4,19.4,14.8,22.4,16,6,6.6,5.8,13,9.2,13.4,8,3,12,14.6,6.4,5.6,9
16,24.4,10.6,17.4,21.2,19.4,14.8,17.4,16,6.6,5.6,8,12.4,9.8,11,8.4,4,11.8,13.2,7,5,6.4
17,24.6,9,17.2,19,15.8,16.2,15.2,16.6,6,5.2,8,11.2,8.8,10,8,3,12,11,4.6,7.4,5.2
18,23.1,10.8,16.2,20,18,16,14,15,5,5.2,7,12.2,10,9,8.1,5.8,11,13,5.8,6,5
19,22.1,8.6,16,22.2,18,13.8,13,14,5.6,6,7.2,12,8.2,7,8.1,3,10,15,6,5.6,6
20,24.8,8.4,16,14.9,17.6,15.6,15.2,16.6,6,6,0,11.8,9.4,10.2,8.2,2.4,10,14.9,5.8,6.2,5
21,25.2,8.8,11.1,21,18,16.6,18.8,17,6,6,6,12.2,10.2,11.6,8.2,2.8,5.1,15,5.8,6.4,7.2
22,25,8.3,18.2,14.6,20,19,16.4,16,5.3,8.2,7,14,7,10,9,3,10,7.6,6,12,6.4
23,20.2,9,15,25.2,18,15.6,16.4,15,6,4,11,12,8.6,10.2,5.2,3,11,14.2,6,7,6.2
24,23.2,9,13.8,23,17.2,13.4,16.6,16,6,3,9,13,6.8,10,7.2,3,10.8,14,4.2,6.6,6.6
25,24,9,16,22,15,14.6,16.6,16,6,5,8,10,8.6,10.4,8,3,11,14,5,6,6.2
26,20.5,8,14.4,22.8,17,13.8,10.8,14.4,5,4,6.4,12.8,9,5.2,6.1,3,10.4,16.4,4.2,4.8,5.6
27,18.2,8.8,10.6,22.6,18,16.8,17,14,6,5.6,7,12,9,10.4,4.2,2.8,5,15.6,6,7.8,6.6
28,15.6,7.4,16,21.6,19,17,19.2,11.2,5.2,6.4,6,14,10,12.2,4.4,2.2,9.6,15.6,5,7,7
29,19,9,15.2,20,19,16.4,15.4,12,6,5.2,8,14,9,9.2,7,3,10,12,5,7.4,6.2
30,20.2,6.3,16,22.6,20,17.2,21.4,13,4.3,6,8,13,10,13,7.2,2,10,14.6,7,7.2,8.4
31,21,7.8,15.4,18.8,19.2,16.8,21.2,14,5.8,5.4,5.8,12,10,14.4,7,2,10,13,7.2,6.8,6.8
32,20.8,6.2,11.6,21,19.2,16.6,20.4,16.8,4.4,5.6,8,13,9,12.6,4,1.8,6,13,6.2,7.6,7.8
33,19,8.6,16.8,22,19,18.2,18.2,14,5.4,7.8,9,12,13,11.2,5,3.2,9,13,7,5.2,7
34,24,9,14.8,20,16.2,18,18.2,18,6.2,6,6,11,11,10.8,6,2.8,8.8,14,5.2,7,7.4
35,24,7.6,16,20.8,18.2,19.6,22,19,5.4,6.2,5,9.8,12,13,5,2.2,9.8,15.8,8.4,7.6,9
