NNP4,VivianaNET,DianitaNET,MorochaNET,CentavitoNET,LeticiaNET,MuchiraNET,SorayaNET,VivianaAM,DianitaAM,MorochaAM,CentavitoAM,LeticiaAM,MuchiraAM,SorayaAM,VivianaPM, DianitaPM,MorochaPM,CentavitoPM,LeticiaPM,MuchiraPM,SorayaPM
1,10.2,11,12.6,6,13.8,15.8,4.4,5.2,5.6,7.4,1.6,9.2,3,11.2,5,5.4,5.2,4.4,4.6,1.4,4.6
2,5.8,12.4,18.4,7.8,13.4,14,4.2,0,8.8,8.2,2.4,9.2,3,7.8,5.8,3.6,10.2,5.4,4.2,1.2,6.2
3,8.8,12.2,16.2,5.5,14.2,20.4,4.8,4,5,10.6,0,9.2,3.2,12.2,4.8,7.2,5.6,5.5,5,1.6,8.2
4,12.2,11.4,15.3,6.6,15,16.2,4.8,6.4,7,10.4,1.6,9.8,3,7.8,5.8,4.4,4.9,5,5.2,1.8,8.4
5,11.4,11.6,11.6,11.6,15,12.3,3.4,7.2,7.4,6.6,4,10,2.4,7.8,4.2,4.2,5,7.6,5,1,4.5
6,4.2,12.8,18.4,9.4,13,15.2,4.2,4.2,7.2,13.2,3.8,7.8,2.8,8.6,0,5.6,5.2,5.6,5.2,1.4,6.6
7,9.4,10.6,13.8,11,13.4,13.6,2.4,5.4,7,7.8,3,8.4,0,11,4,3.6,6,8,5,2.4,2.6
8,10.2,11,15.2,12.6,14.6,18.6,13,6.2,7,10.6,5,10.4,8.4,12.6,4,4,4.6,7.6,4.2,4.6,6
9,13,12,14.8,10.4,13.6,19.4,10.6,8,8,10.4,3.2,10.2,7,13,5,4,4.4,7.2,3.4,3.6,6.4
10,16.4,12,17.2,9.8,14,19,11.2,10.2,7.2,11.8,3,10,8,13,6.2,4.8,5.4,6.8,4,3.2,6
11,16.8,10,17,11.9,15.6,16,12.2,11,6,12,3.5,10.4,7.8,10.6,5.8,4,5,8.4,5.2,4.4,5.4
12,17.2,12,13,10.2,16.4,15.6,11.1,11.4,5,8,2.4,11,7.5,9.4,5.8,7,5,7.8,5.4,3.6,6.2
13,13.2,10.8,9.6,11.8,3.3,19.2,11.4,8.2,7,6.8,3.8,0,7.8,12,5,3.8,2.8,8,3.3,3.6,7.2
14,16.4,13,16.4,10.4,13.8,17.2,11.8,11.2,8,12.6,4,8.8,8.6,11,5.2,5,3.8,6.4,5,3.2,6.2
15,16.6,11.4,14.8,11,13.2,19,12.8,10,8,12.6,3,7.2,7.4,12.8,6.6,3.4,2.2,8,6,5.4,6.2
16,15.4,10.6,14,8.4,15.6,19,8,9.8,8,10,2.2,9,4,12.2,5.6,2.6,4,6.2,6.6,4,6.8
17,10.2,11,12.6,11.9,15.2,18.8,11.6,6.6,6,9,3.8,9.2,7.6,12.6,3.6,5,3.6,8.1,6,4,6.2
18,7.4,11.2,12.8,11.3,19.4,19.2,10,6.2,8,9.4,4.1,11.8,5.8,12.4,1.2,3.2,3.4,7.2,7.6,4.2,6.8
19,8.8,11.6,17,10.6,19.4,20,12.4,6.8,8,10,3.4,10.2,7.8,12.4,2,3.6,7,7.2,9.2,4.6,7.6
20,10.2,11.4,16.2,11.8,19,20.2,12,7,8,11.2,2.6,13.4,8.2,13.2,3.2,3.4,5,9.2,5.6,3.8,7
21,9.6,11.6,18.6,11.4,14.8,18.2,12,6.2,8.6,12,4.2,10.6,8.2,11,3.4,3,6.6,7.2,4.2,3.8,7.2
22,13,11.2,17,12.4,17.2,15.8,7.6,8.4,7.2,11,4,10.2,5.2,13,4.6,4,6,8.4,7,2.4,2.8
23,12.2,14,14.2,13.4,2,18,11.8,8.2,9.2,8.4,2.8,0,8.4,11,4,4.8,5.8,10.6,2,3.4,7
