NNP5,GuapaNET,AndreaNET,GuapaAM,AndreaAM,GuapaPM,AndreaPM
1,0,16.8,0,15,0,1.8
2,0,15.2,0,10.6,0,4.6
3,0,9.4,0,6,0,3.4
4,0,8.6,0,4.6,0,4
5,0,13,0,9.8,0,3.2
6,0,5.6,0,3.6,0,2
7,0,17.2,0,7,0,10.2
8,0,15.4,0,8.4,0,7
9,0,12.6,0,9.4,0,3.2
10,0,8,0,0,0,8
11,0,6.4,0,1.4,0,5
12,0,17.4,0,12,0,5.4
13,0,15.2,0,10,0,5.2
14,11,15.2,0,11.2,11,4
15,18.4,19.2,5.8,12.2,12.6,7
16,11.4,19.6,5.2,13,6.2,6.6
17,14.2,21.8,5,11.8,9.2,10
18,18.8,20,9.6,11.6,9.2,8.4
19,18.2,21,7.2,13,11,8
20,17.2,15.8,5.2,12,12,3.8
21,16,20.2,5.2,14.2,10.8,6
22,17.4,16,6,11.4,11.4,4.6
23,16.8,17.3,5.6,13,11.2,4.3
24,17.2,16.2,6.8,11.2,10.4,5
25,10.8,16.4,2.8,8,8,8.4
26,13,13.8,2.6,8.6,10.4,5.2
27,12.2,11.4,3,5.4,9.2,6
28,15.2,17.8,4,10.6,11.2,7.2
29,15,14.4,4,11,11,3.4
30,13.4,18.2,3.8,12.2,9.6,6
31,15.1,15,4.5,11,10.6,4
32,15.4,17.6,5,11,10.4,6.6
33,16.4,20.6,5,13.2,11.4,7.4
34,15.8,19.4,5.4,12,10.4,7.4
35,16,14.4,5.2,10.2,10.8,4.2
36,13.8,14.6,4.6,10.4,9.2,4.2
37,15.2,9,4.4,5.2,10.8,3.8
38,15.6,20.4,4.6,12.8,11,7.6
39,12.7,22.4,3.4,12.4,9.3,10
40,14.6,19.6,3.2,12.4,11.4,7.2
41,11.4,22,3,13.6,8.4,8.4
42,11.4,17,1,7.6,10.4,9.4
43,13,20.8,4.8,12.8,8.2,8
44,13.2,18.8,4.8,14,8.4,4.8
45,17.2,20,5.2,15,12,5
46,18,20,6,11.2,12,8.8
47,17,19.8,4.2,15,12.8,4.8
48,17.2,16,5.2,11.8,12,4.2
49,7.2,22,4.8,14,2.4,8
50,15.6,20.6,5.2,11.2,10.4,9.4
51,20.4,3.6,10.2,0,10.2,3.6
52,15.4,19,5,14,10.4,5
53,12.6,21,5.2,14.6,7.4,6.4
54,21.6,10.2,8,6.4,13.6,3.8
55,15.4,13.6,4.4,10,11,3.6
56,14.8,14.8,4.8,11.6,10,3.2
57,15.8,24.4,6,10,9.8,14.4
58,12,19,5,12.4,7,6.6
59,13,19.2,4.6,13.6,8.4,5.6
60,2.4,21.8,2.4,13.8,0,8
61,10.4,6.4,0,0,10.4,6.4
62,6.2,15.8,6.2,11,0,4.8
63,11.6,4.8,0,1.6,11.6,3.2
64,17,12.2,4,8.8,13,3.4
65,15,11,4,8,11,3
66,16,11.4,4.8,8.6,11.2,2.8
67,16,20.6,5.2,15,10.8,5.6
68,16.4,22.8,5.2,12.8,11.2,10
69,16.4,19.4,4.2,12,12.2,7.4
70,17.4,14.2,5.4,10,12,4.2
71,16.4,21.4,4.8,13.2,11.6,8.2
72,14.8,19,3.6,13,11.2,6
73,16.8,12.2,7,12.2,9.8,0
74,14.4,15.4,4.8,10.4,9.6,5
75,13,17.2,4,11.4,9,5.8
76,14,15.6,4.6,11.2,9.4,4.4
77,13.1,14.4,4.9,10,8.2,4.4
78,14.31,15.2,3.41,9.2,10.9,6
79,14.2,16.6,4.4,9.4,9.8,7.2
80,13.8,12.8,3.8,8,10,4.8
81,15.8,16.8,4.6,8.6,11.2,8.2
82,21,16,9.2,12.4,11.8,3.6
83,15.4,12.6,4.4,7.4,11,5.2
84,15.4,9.3,5.4,4.8,10,4.5
85,16.2,13.6,5.4,10.4,10.8,3.2
86,13.4,15.5,6,12,7.4,3.5
87,16,16,5.8,11,10.2,5
