NP1,Hour,#D,#M,Sol,Lunita,Acerada
1,AM,1,1,5,6,4.8
2,PM,1,1,4,4.2,2.4
3,AM,2,1,6,0,6.2
4,PM,2,1,1.6,4.8,7.9
5,AM,3,1,6,6.8,5
6,PM,3,1,2,0,7.5
7,AM,4,1,5,5.4,7
8,PM,4,1,2,0,8.5
9,AM,5,1,2,8,5.2
10,PM,5,1,2.6,0,4
11,AM,6,1,7.2,0,5.8
12,PM,6,1,3,0,10
13,AM,7,1,7,5,5.8
14,PM,7,1,2,2,4.6
15,AM,8,1,7.6,6.8,0
16,PM,8,1,2.2,3,10
17,AM,9,1,10.6,7,6
18,PM,9,1,3.2,0,11
19,AM,10,1,6,6,3.8
20,PM,10,1,3.2,3,9
21,AM,11,1,7.2,0,1
22,PM,11,1,4,4,4
23,AM,12,1,6,7,5
24,PM,12,1,3,4,11
25,AM,13,1,5.8,2,6.4
26,PM,13,1,4,3.6,7.4
27,AM,14,1,7.4,1,6
28,PM,14,1,2.3,5,10.2
29,AM,15,1,7.4,7,6
30,PM,15,1,3,4.6,11
31,AM,16,1,8,9,2
32,PM,16,1,4,3.6,2
33,AM,17,1,7,9,6
34,PM,17,1,3,4,10
35,AM,18,1,6,8,5
36,PM,18,1,3,3,11
37,AM,19,1,9,9.8,7
38,PM,19,1,2.4,1,9
39,AM,20,1,6,9,6.6
40,PM,20,1,5,4,11
41,AM,21,1,8,8.2,5.6
42,PM,21,1,2,4.5,1.1
43,AM,22,1,7.2,8.4,6.4
44,PM,22,1,4,6,10.2
45,AM,23,1,6.8,9,7
46,PM,23,1,4.4,5.4,9.2
47,AM,24,1,6,9,3
48,PM,24,1,5,4.8,10
49,AM,25,1,7,7.8,6
50,PM,25,1,2.2,3.5,9.4
51,AM,26,1,8,5.4,4
52,PM,26,1,5,3.2,11
53,AM,27,1,8,8,5
54,PM,27,1,4.4,3,11
55,AM,28,1,8.4,7,6
56,PM,28,1,4.2,4,10.6
57,AM,29,1,8.4,8,6
58,PM,29,1,3.8,4,10.4
59,AM,30,1,7.2,7.4,5.4
60,PM,30,1,3.2,3.2,11
61,AM,31,1,6.8,9,5
62,PM,31,2,3,3,9
63,AM,32,2,8,8.2,4
64,PM,32,2,3.8,5,8
65,AM,33,2,5,8.2,6
66,PM,33,2,2,3.6,11
67,AM,34,2,6.2,9,4.4
68,PM,34,2,2.8,3,7.2
69,AM,35,2,8,9.4,6
70,PM,35,2,4.2,4,3.6
71,AM,36,2,9,9,8.2
72,PM,36,2,4,4,10
73,AM,37,2,9,9,3.2
74,PM,37,2,5,5,11
75,AM,38,2,10,8,5
76,PM,38,2,5,5,6
77,AM,39,2,4.8,10,4.1
78,PM,39,2,7,4,10
79,AM,40,2,9.8,9,5
80,PM,40,2,3,4.8,8.3
81,AM,41,2,8.4,8,6.6
82,PM,41,2,5,3.6,9.4
83,AM,42,2,7.2,8,6
84,PM,42,2,4,3.8,10
85,AM,43,2,7,7.2,4
86,PM,43,2,3.4,4,11
87,AM,44,2,7,8,5
88,PM,44,2,5,5,10.2
89,AM,45,2,6.6,9,5.2
