N,Hour,#D,#M,Gina,Juanita,Viviana,Dianita,Lucia,Sol,Pacha
1,AM,1,1,22,8,2.4,4,8,6.6,12.8
2,PM,1,1,7,0,2.6,7,8.6,5,6.8
3,AM,2,1,14,2,4,3,15,8,11.4
4,PM,2,1,4.9,1.4,9.2,9.2,4.8,5,9.6
5,AM,3,1,15,3.6,4,10,10,8.6,9.6
6,PM,3,1,7,2.4,9.2,12,6.6,8,4.2
7,AM,4,1,13.4,7.4,6.4,6,11,8.2,10.8
8,PM,4,1,7,2,9,15,8,8.6,7.8
9,AM,5,1,14,4.2,6,7.6,12,10.1,11.2
10,PM,5,1,6,3,11,14,6,8.6,7.6
11,AM,6,1,10.4,5.4,5.4,7,11.2,8.8,14
12,PM,6,1,7.2,4.6,8.2,15,5.2,7.2,7.2
13,AM,7,1,13,5,5.2,6,14,0,12.6
14,PM,7,1,6,2,8.4,16,5.8,3,7.4
15,AM,8,1,15.5,5.6,5.4,7,12,6,10.4
16,PM,8,1,9,2,9.3,14,6.4,11.2,5.8
17,AM,9,1,12,8.4,5,8,12,11.4,10.8
18,PM,9,1,7,4,11,13,6,9,6.6
19,AM,10,1,19,5,5.2,6,13,12,9.2
20,PM,10,1,11,4,9.6,14,6.4,8,6.2
21,AM,11,1,15.4,4.4,5.2,8,12.6,9,13
22,PM,11,1,7,4.2,12,13.4,5,9.2,7.2
23,AM,12,1,15,4.2,8.2,7.4,13,7.7,9.6
24,PM,12,1,8,2,10,12.2,6.2,7.9,5.2
25,AM,13,1,15.4,5,5.8,7,13,0,12
26,PM,13,1,6.1,3,9.8,13.4,7,6.2,4.8
27,AM,14,1,5.8,7,6.8,5,12.2,5.2,12
28,PM,14,1,6,2,11.4,10,6,7,6.4
29,AM,15,1,16,6,6.6,5.8,13,9.2,13.4
30,PM,15,1,8,3,12,14.6,6.4,5.6,9
31,AM,16,1,16,6.6,5.6,8,12.4,9.8,11
32,PM,16,1,8.4,4,11.8,13.2,7,5,6.4
33,AM,17,1,16.6,6,5.2,8,11.2,8.8,10
34,PM,17,1,8,3,12,11,4.6,7.4,5.2
35,AM,18,1,15,5,5.2,7,12.2,10,9
36,PM,18,1,8.1,5.8,11,13,5.8,6,5
37,AM,19,1,14,5.6,6,7.2,12,8.2,7
38,PM,19,1,8.1,3,10,15,6,5.6,6
39,AM,20,1,16.6,6,6,0,11.8,9.4,10.2
40,PM,20,1,8.2,2.4,10,14.9,5.8,6.2,5
41,AM,21,1,17,6,6,6,12.2,10.2,11.6
42,PM,21,1,8.2,2.8,5.1,15,5.8,6.4,7.2
43,AM,22,1,16,5.3,8.2,7,14,7,10
44,PM,22,1,9,3,10,7.6,6,12,6.4
45,AM,23,1,15,6,4,11,12,8.6,10.2
46,PM,23,1,5.2,3,11,14.2,6,7,6.2
47,AM,24,1,16,6,3,9,13,6.8,10
48,PM,24,1,7.2,3,10.8,14,4.2,6.6,6.6
49,AM,25,1,16,6,5,8,10,8.6,10.4
50,PM,25,1,8,3,11,14,5,6,6.2
51,AM,26,1,14.4,5,4,6.4,12.8,9,5.2
52,PM,26,1,6.1,3,10.4,16.4,4.2,4.8,5.6
53,AM,27,1,14,6,5.6,7,12,9,10.4
54,PM,27,1,4.2,2.8,5,15.6,6,7.8,6.6
55,AM,28,1,11.2,5.2,6.4,6,14,10,12.2
56,PM,28,1,4.4,2.2,9.6,15.6,5,7,7
57,AM,29,1,12,6,5.2,8,14,9,9.2
58,PM,29,1,7,3,10,12,5,7.4,6.2
59,AM,30,1,13,4.3,6,8,13,10,13
60,PM,30,1,7.2,2,10,14.6,7,7.2,8.4
61,AM,31,1,14,5.8,5.4,5.8,12,10,14.4
62,PM,31,2,7,2,10,13,7.2,6.8,6.8
63,AM,32,2,16.8,4.4,5.6,8,13,9,12.6
64,PM,32,2,4,1.8,6,13,6.2,7.6,7.8
65,AM,33,2,14,5.4,7.8,9,12,13,11.2
66,PM,33,2,5,3.2,9,13,7,5.2,7
67,AM,34,2,18,6.2,6,6,11,11,10.8
68,PM,34,2,6,2.8,8.8,14,5.2,7,7.4
69,AM,35,2,19,5.4,6.2,5,9.8,12,13
70,PM,35,2,5,2.2,9.8,15.8,8.4,7.6,9
71,AM,36,2,11.65,5.4,6.2,9,12.4,8,13
72,PM,36,2,8,2.6,11,14,6.4,5.8,9
73,AM,37,2,11,6,8,10,12.4,13.6,11
74,PM,37,2,7,3,9.8,18,6,7,8.6
75,AM,38,2,13,6,5,9,13.2,7.2,11
76,PM,38,2,9,3,9.2,15,7.8,11,9.8
77,AM,39,2,13,7,8,7.4,13,12,12
78,PM,39,2,7,3,10.8,14,6.4,5.4,6
79,AM,40,2,16,6,10.8,8,9.8,13.4,13
80,PM,40,2,7,3,9,13.6,5.8,7.4,5.2
81,AM,41,2,14,6,6,8,12.4,11.6,6.4
82,PM,41,2,5.5,4,10.2,16.4,6.6,6.2,3.6
83,AM,42,2,14,5,6,7,10,14.2,12.2
84,PM,42,2,7.5,3,10,11,9.2,7.2,6.4
85,AM,43,2,14,6.6,5.6,8,13.4,12.2,12.4
86,PM,43,2,5,3.2,3,11,6.4,7.6,5.4
87,AM,44,2,12.8,6,5.4,8,11,13,12.2
88,PM,44,2,5,3.3,11,14.6,2.8,9.6,6.8
89,AM,45,2,13.8,6,6.2,6.4,10,11.4,7.4
90,PM,45,2,6,4,10,13,7.4,6.2,7.6
91,AM,46,2,10,5,5,6,7,10.6,12.4
92,PM,46,2,8,3.8,11.8,10,6.2,8.4,7
93,AM,47,2,12,6.2,4.5,6,9.2,12.2,11
94,PM,47,2,4,3,13.8,14,6,5.6,7
95,AM,48,2,12,6,4.8,6.6,8,11,8
96,PM,48,2,5,3,9,13,6,4.6,6.6
97,AM,49,2,10,6,5.8,7,12.8,11.6,11
98,PM,49,2,5,2.8,11,13.6,6,5.4,7
99,AM,50,2,12.6,4.4,5,7,8.6,10,11.2
100,PM,50,2,7,4.2,15.2,11,12,4.8,7
101,AM,51,2,11.4,6,5,8,13.6,9.2,11.4
102,PM,51,2,7,2.4,10,8.4,5.6,7.2,5.4
103,AM,52,2,13,6,6,9,10,9,11
104,PM,52,2,7.2,3,10,13.2,6.8,6.4,8
105,AM,53,2,11,5,7,6.4,14,10.8,12.4
106,PM,53,2,7,2,14,10,5.2,6.2,5.6
107,AM,54,2,14,6,6.4,7,13,11.4,13.2
108,PM,54,2,6,2.2,12,12,5.6,6,6.8
