N,Hour,#D,#M,Juanita,Guapa,Sol,Moroca,Fer0da,Martina,Leticia
1,AM,1,1,10,8,11.2,8.8,15,,6
2,PM,1,1,3.4,11,5.2,4,4,,10.4
3,AM,2,1,2,8.8,7.6,13,14,,7.6
4,PM,2,1,4,12,5.8,10,11.6,,11.6
5,AM,3,1,8,8,7.6,18,14.6,,5.8
6,PM,3,1,5,8,5.6,20,7.4,,11.8
7,AM,4,1,7,10,12.4,14,10,,4.6
8,PM,4,1,4,12,3.6,8,11,,11.6
9,AM,5,1,9,7,7.1,17.4,1.6,,5.2
10,PM,5,1,5,13.2,6.6,8,1.4,,12
11,AM,6,1,10,6.2,10,18,13.4,,5
12,PM,6,1,6,13.8,5.2,6,9.2,,12
13,AM,7,1,11,8,9,15,1.3,,6.8
14,PM,7,1,3.8,14,6.2,7,9,,11.4
15,AM,8,1,2,8.2,7.4,15,16.8,5.6,7
16,PM,8,1,3.8,15,4.2,8.2,9,5.2,11.6
17,AM,9,1,8.8,6,9,16.8,13.8,5,7
18,PM,9,1,6,14.8,4.2,8.8,11.6,5,13
19,AM,10,1,5.4,7.8,7.8,17.8,15.3,8,6.8
20,PM,10,1,3,14,5,9,9,9.2,13
21,AM,11,1,6,3,6.8,16,14.3,15,7.2
22,PM,11,1,3,13,3.2,7,8,8,13
23,AM,12,1,5,6.2,7,14.5,14,13.5,8
24,PM,12,1,3,13.6,3.4,18,10.2,9,7.4
25,AM,13,1,10,8,8.4,14.8,18,15,7.6
26,PM,13,1,4,6,3.8,12.4,9,8,14
27,AM,14,1,9,11,9.8,16.4,17.6,15.4,7
28,PM,14,1,6.6,14,4,7.8,9,5.3,11
29,AM,15,1,8,9,8.4,17.2,16,14,7.2
30,PM,15,1,4,14,4,8.6,11,5.2,13.4
31,AM,16,1,9,7.6,7.6,14.8,17.4,16.8,8
32,PM,16,1,5,13,5.6,7.8,7.3,5,13.2
33,AM,17,1,10,6,7.2,15,17,19,7
34,PM,17,1,7.2,14,4.4,7.6,6,8.6,8
35,AM,18,1,11,5.4,8.8,16.4,17,14,8.2
36,PM,18,1,7,15,3,7.6,8,9,15
37,AM,19,1,11,6,7,18.4,15.4,16.6,7
38,PM,19,1,6,13,5,8,5,9,13
39,AM,20,1,10.4,9,8.6,15.4,1.6,16,7
40,PM,20,1,6.2,13,6,6.6,2,7,14.8
41,AM,21,1,10.4,7,9,17.4,9,18,7.2
42,PM,21,1,6,15,6.2,7.2,6,6.2,13.4
43,AM,22,1,12,8.4,9.6,10,15,13,7.4
44,PM,22,1,6,14.4,1,5.4,7,10,12.8
45,AM,23,1,10.6,7.4,8.4,15.2,16,18.2,7
46,PM,23,1,6.2,15.4,4.4,12,7,9.8,12.2
47,AM,24,1,13,6,9.3,15.5,16,19,7.6
48,PM,24,1,6.4,14.7,6,8,12,1.4,14
49,AM,25,1,12,5,5.4,15,15.8,16,8
50,PM,25,1,6.8,15,6.4,10,12,8,13
51,AM,26,1,12,8.4,8.2,15,15.8,16.8,7
52,PM,26,1,6.4,15.8,3.2,8,12,10,8
53,AM,27,1,13,8,9.8,17,17.4,19,6
54,PM,27,1,5.6,14.6,4.4,11,11.4,7.8,9
55,AM,28,1,12.2,8.8,10,17,15.4,7.9,8
56,PM,28,1,6,14,3.2,8.3,14,6,8.4
57,AM,29,1,14,8,7.6,17.6,14.8,17.6,6
58,PM,29,1,6,10,4,8,10.6,8.4,10
59,AM,30,1,10,5.3,9.6,16.8,18,15,6
60,PM,30,1,8,14,5,7,10,9.4,12
61,AM,31,1,12,5.6,9.6,19.4,15,18,4.6
62,PM,31,2,7,10.8,5,6,10,9,14
63,AM,32,2,11,7.4,11,19,14,19.4,6.8
64,PM,32,2,7.8,13,6,9,7.4,9.4,15
65,AM,33,2,13,8,10.8,17,12.5,16.6,7
66,PM,33,2,5,17.4,5.2,6,11,7.2,14
67,AM,34,2,11.8,8,7.6,14,14.8,17,6
68,PM,34,2,6.8,16,6.6,7,11,6,15
69,AM,35,2,10.2,5.8,8.4,18,11.8,19.2,7.6
70,PM,35,2,3.8,15,6.2,7,9.6,7.2,14
71,AM,36,2,9.2,9,9,20.8,17,18.2,3
72,PM,36,2,6.2,22.4,5.4,8.2,9.2,7.4,12.3
73,AM,37,2,12,8,6,21.2,17,17.2,9.6
74,PM,37,2,5,15.8,8.2,9.6,9.2,7,15
75,AM,38,2,10.8,8.6,8.2,19.6,16,17.2,8
76,PM,38,2,7,11.8,5.2,11.4,10,8,15
77,AM,39,2,11.3,3,7.4,15.2,11.8,16,7.4
78,PM,39,2,6,16.6,6,7.2,11.2,8.6,12
79,AM,40,2,11.4,8,6.8,14.2,15.6,13.4,7.7
80,PM,40,2,6,7.8,3,16.8,6.8,9.3,15
81,AM,41,2,12.4,15.6,7.8,19.2,15,17.2,7.4
82,PM,41,2,11.4,14.3,3.2,9.2,11.6,8,15
83,AM,42,2,11.8,8.2,7.8,12.8,13.2,16.2,5
84,PM,42,2,6.8,12,4.8,17.6,10,6.2,11
85,AM,43,2,11.2,8.8,7,19.2,16,15.6,7
86,PM,43,2,5.6,14.4,3.6,9,8.4,7.8,11.8
87,AM,44,2,12.2,9.4,8.4,11.4,14.2,14.4,7
88,PM,44,2,4,13.4,2.2,6,8,7.6,6.2
89,AM,45,2,12,7,10,19.4,16,14.4,6
