N,Hour,#D,#M,Viviana,Soraya,Dianita,Morocha,Centavito,Muchira,Leticia
1,AM,1,1,5.2,5.6,7.4,1.6,9.2,3,11.2
2,PM,1,1,5,5.4,5.2,4.4,4.6,1.4,4.6
3,AM,2,1,0,8.8,8.2,2.4,9.2,3,7.8
4,PM,2,1,5.8,3.6,10.2,5.4,4.2,1.2,6.2
5,AM,3,1,4,5,10.6,0,9.2,3.2,12.2
6,PM,3,1,4.8,7.2,5.6,5.5,5,1.6,8.2
7,AM,4,1,6.4,7,10.4,1.6,9.8,3,7.8
8,PM,4,1,5.8,4.4,4.9,5,5.2,1.8,8.4
9,AM,5,1,7.2,7.4,6.6,4,10,2.4,7.8
10,PM,5,1,4.2,4.2,5,7.6,5,1,4.5
11,AM,6,1,4.2,7.2,13.2,3.8,7.8,2.8,8.6
12,PM,6,1,0,5.6,5.2,5.6,5.2,1.4,6.6
13,AM,7,1,5.4,7,7.8,3,8.4,0,11
14,PM,7,1,4,3.6,6,8,5,2.4,2.6
15,AM,8,1,6.2,7,10.6,5,10.4,8.4,12.6
16,PM,8,1,4,4,4.6,7.6,4.2,4.6,6
17,AM,9,1,8,8,10.4,3.2,10.2,7,13
18,PM,9,1,5,4,4.4,7.2,3.4,3.6,6.4
19,AM,10,1,10.2,7.2,11.8,3,10,8,13
20,PM,10,1,6.2,4.8,5.4,6.8,4,3.2,6
21,AM,11,1,11,6,12,3.5,10.4,7.8,10.6
22,PM,11,1,5.8,4,5,8.4,5.2,4.4,5.4
23,AM,12,1,11.4,5,8,2.4,11,7.5,9.4
24,PM,12,1,5.8,7,5,7.8,5.4,3.6,6.2
25,AM,13,1,8.2,7,6.8,3.8,0,7.8,12
26,PM,13,1,5,3.8,2.8,8,3.3,3.6,7.2
27,AM,14,1,11.2,8,12.6,4,8.8,8.6,11
28,PM,14,1,5.2,5,3.8,6.4,5,3.2,6.2
29,AM,15,1,10,8,12.6,3,7.2,7.4,12.8
30,PM,15,1,6.6,3.4,2.2,8,6,5.4,6.2
31,AM,16,1,9.8,8,10,2.2,9,4,12.2
