N,Hour,#D,#M,Guapa,Andrea
1,AM,1,1,0,15
2,PM,1,1,0,1.8
3,AM,2,1,0,10.6
4,PM,2,1,0,4.6
5,AM,3,1,0,6
6,PM,3,1,0,3.4
7,AM,4,1,0,4.6
8,PM,4,1,0,4
9,AM,5,1,0,9.8
10,PM,5,1,0,3.2
11,AM,6,1,0,3.6
12,PM,6,1,0,2
13,AM,7,1,0,7
14,PM,7,1,0,10.2
15,AM,8,1,0,8.4
16,PM,8,1,0,7
17,AM,9,1,0,9.4
18,PM,9,1,0,3.2
19,AM,10,1,0,0
20,PM,10,1,0,8
21,AM,11,1,0,1.4
22,PM,11,1,0,5
23,AM,12,1,0,12
24,PM,12,1,0,5.4
25,AM,13,1,0,10
26,PM,13,1,0,5.2
27,AM,14,1,0,11.2
28,PM,14,1,11,4
29,AM,15,1,5.8,12.2
30,PM,15,1,12.6,7
31,AM,16,1,5.2,13
32,PM,16,1,6.2,6.6
33,AM,17,1,5,11.8
34,PM,17,1,9.2,10
35,AM,18,1,9.6,11.6
36,PM,18,1,9.2,8.4
37,AM,19,1,7.2,13
38,PM,19,1,11,8
39,AM,20,1,5.2,12
40,PM,20,1,12,3.8
41,AM,21,1,5.2,14.2
42,PM,21,1,10.8,6
43,AM,22,1,6,11.4
44,PM,22,1,11.4,4.6
45,AM,23,1,5.6,13
46,PM,23,1,11.2,4.3
47,AM,24,1,6.8,11.2
48,PM,24,1,10.4,5
49,AM,25,1,2.8,8
50,PM,25,1,8,8.4
51,AM,26,1,2.6,8.6
52,PM,26,1,10.4,5.2
53,AM,27,1,3,5.4
54,PM,27,1,9.2,6
55,AM,28,1,4,10.6
56,PM,28,1,11.2,7.2
57,AM,29,1,4,11
58,PM,29,1,11,3.4
59,AM,30,1,3.8,12.2
60,PM,30,1,9.6,6
61,AM,31,1,4.5,11
62,PM,31,2,10.6,4
63,AM,32,2,5,11
64,PM,32,2,10.4,6.6
65,AM,33,2,5,13.2
66,PM,33,2,11.4,7.4
67,AM,34,2,5.4,12
68,PM,34,2,10.4,7.4
69,AM,35,2,5.2,10.2
70,PM,35,2,10.8,4.2
71,AM,36,2,4.6,10.4
72,PM,36,2,9.2,4.2
73,AM,37,2,4.4,5.2
74,PM,37,2,10.8,3.8
75,AM,38,2,4.6,12.8
76,PM,38,2,11,7.6
77,AM,39,2,3.4,12.4
78,PM,39,2,9.3,10
79,AM,40,2,3.2,12.4
80,PM,40,2,11.4,7.2
81,AM,41,2,3,13.6
82,PM,41,2,8.4,8.4
83,AM,42,2,1,7.6
84,PM,42,2,10.4,9.4
85,AM,43,2,4.8,12.8
86,PM,43,2,8.2,8
87,AM,44,2,4.8,14
88,PM,44,2,8.4,4.8
89,AM,45,2,5.2,15
90,PM,45,2,12,5
91,AM,46,2,6,11.2
92,PM,46,2,12,8.8
93,AM,47,2,4.2,15
94,PM,47,2,12.8,4.8
95,AM,48,2,5.2,11.8
96,PM,48,2,12,4.2
97,AM,49,2,4.8,14
98,PM,49,2,2.4,8
99,AM,50,2,5.2,11.2
100,PM,50,2,10.4,9.4
101,AM,51,2,10.2,0
102,PM,51,2,10.2,3.6
103,AM,52,2,5,14
104,PM,52,2,10.4,5
105,AM,53,2,5.2,14.6
106,PM,53,2,7.4,6.4
107,AM,54,2,8,6.4
108,PM,54,2,13.6,3.8
109,AM,55,2,4.4,10
110,PM,55,2,11,3.6
111,AM,56,2,4.8,11.6
112,PM,56,2,10,3.2
113,AM,57,2,6,10
114,PM,57,2,9.8,14.4
115,AM,58,2,5,12.4
116,PM,58,2,7,6.6
117,AM,59,2,4.6,13.6
118,PM,59,2,8.4,5.6
119,AM,60,2,2.4,13.8
120,PM,60,2,0,8
121,AM,61,2,0,0
122,PM,61,2,10.4,6.4
123,AM,62,3,6.2,11
124,PM,62,3,0,4.8
125,AM,63,3,0,1.6
126,PM,63,3,11.6,3.2
127,AM,64,3,4,8.8
128,PM,64,3,13,3.4
129,AM,65,3,4,8
130,PM,65,3,11,3
131,AM,66,3,4.8,8.6
132,PM,66,3,11.2,2.8
133,AM,67,3,5.2,15
134,PM,67,3,10.8,5.6
135,AM,68,3,5.2,12.8
136,PM,68,3,11.2,10
137,AM,69,3,4.2,12
138,PM,69,3,12.2,7.4
139,AM,70,3,5.4,10
140,PM,70,3,12,4.2
141,AM,71,3,4.8,13.2
142,PM,71,3,11.6,8.2
143,AM,72,3,3.6,13
144,PM,72,3,11.2,6
145,AM,73,3,7,12.2
146,PM,73,3,9.8,0
147,AM,74,3,4.8,10.4
148,PM,74,3,9.6,5
149,AM,75,3,4,11.4
150,PM,75,3,9,5.8
151,AM,76,3,4.6,11.2
152,PM,76,3,9.4,4.4
153,AM,77,3,4.9,10
154,PM,77,3,8.2,4.4
155,AM,78,3,3.41,9.2
156,PM,78,3,10.9,6
157,AM,79,3,4.4,9.4
158,PM,79,3,9.8,7.2
159,AM,80,3,3.8,8
160,PM,80,3,10,4.8
161,AM,81,3,4.6,8.6
162,PM,81,3,11.2,8.2
163,AM,82,3,9.2,12.4
164,PM,82,3,11.8,3.6
165,AM,83,3,4.4,7.4
166,PM,83,3,11,5.2
167,AM,84,3,5.4,4.8
168,PM,84,3,10,4.5
169,AM,85,3,5.4,10.4
170,PM,85,3,10.8,3.2
171,AM,86,3,6,12
172,PM,86,3,7.4,3.5
173,AM,87,3,5.8,11
174,PM,87,3,10.2,5
175,AM,88,3,6,11
176,PM,88,3,6.2,5.4
177,AM,89,3,5.6,8.8
178,PM,89,3,8,6
179,AM,90,3,4,11
180,PM,90,3,10.2,4
181,AM,91,3,7,8.6
182,PM,91,3,12,4.2
183,AM,92,3,6.2,8.2
184,PM,92,4,12.6,5.8
185,AM,93,4,5.8,8.8
186,PM,93,4,13,4.8
187,AM,94,4,6.2,9
188,PM,94,4,12,4.4
189,AM,95,4,6,11.4
190,PM,95,4,12.6,5
191,AM,96,4,6.2,6
192,PM,96,4,13,3.8
193,AM,97,4,6.2,10
194,PM,97,4,12.6,4.2
195,AM,98,4,6,10.2
196,PM,98,4,12,6
197,AM,99,4,5.4,9.5
198,PM,99,4,14,5
199,AM,100,4,3.2,11
200,PM,100,4,12.4,5.6
201,AM,101,4,6.2,9
202,PM,101,4,13,6
203,AM,102,4,5.8,9.4
204,PM,102,4,12,6.6
205,AM,103,4,4.2,10
206,PM,103,4,0,5.2
207,AM,104,4,4.6,10.8
208,PM,104,4,13.4,5
209,AM,105,4,6,10.2
210,PM,105,4,11,4.2
211,AM,106,4,5,7.6
212,PM,106,4,9,3.6
213,AM,107,4,4.4,7
214,PM,107,4,9.4,2.2
215,AM,108,4,3.4,0
216,PM,108,4,10,0
217,AM,109,4,4.6,8.4
218,PM,109,4,10.58,2.6
219,AM,110,4,10,8.4
220,PM,110,4,11,5.2
221,AM,111,4,5.4,10.2
222,PM,111,4,9.4,5
223,AM,112,4,3.2,11
224,PM,112,4,11.7,5.2
225,AM,113,4,5.4,8.7
226,PM,113,4,0,4.2
227,AM,114,4,5,8.4
228,PM,114,4,10,5.8
229,AM,115,4,5,8.2
230,PM,115,4,11.6,6
231,AM,116,4,3.8,10
232,PM,116,4,8,6
233,AM,117,4,3.8,6
234,PM,117,4,6.4,5.6
235,AM,118,4,2.6,10
236,PM,118,4,5.8,4.8
237,AM,119,4,2,9
238,PM,119,4,12.4,7
239,AM,120,4,5.4,7.4
240,PM,120,4,11.2,4.1
241,AM,121,4,3.4,10.4
242,PM,121,4,10.4,0
243,AM,122,4,3.6,8.4
244,PM,122,4,9.6,5.6
245,AM,123,5,3,9.8
246,PM,123,5,9.6,7
247,AM,124,5,5.14,9.8
248,PM,124,5,11.2,4.4
249,AM,125,5,4.6,11
250,PM,125,5,5,4
251,AM,126,5,0,13
252,PM,126,5,10.4,0
253,AM,127,5,4,8.3
254,PM,127,5,8,4.6
255,AM,128,5,4.4,9.4
256,PM,128,5,9.2,2.4
257,AM,129,5,4.2,9
258,PM,129,5,4,2.4
259,AM,130,5,4,9.8
260,PM,130,5,8.4,4.4
261,AM,131,5,4.4,9.2
262,PM,131,5,8.2,4.8
263,AM,132,5,4.4,8.8
264,PM,132,5,7,4
265,AM,133,5,4,9.6
266,PM,133,5,8.8,4
267,AM,134,5,4.8,9.5
268,PM,134,5,9.4,3.6
269,AM,135,5,2.4,7.6
270,PM,135,5,7.2,4.6
271,AM,136,5,5.6,12
272,PM,136,5,8.2,4.4
273,AM,137,5,4.4,11.4
274,PM,137,5,8.4,4.6
275,AM,138,5,3.8,11.2
276,PM,138,5,9.6,4
277,AM,139,5,4,11
278,PM,139,5,9.4,4.6
279,AM,140,5,4,9.6
280,PM,140,5,8.6,4.4
281,AM,141,5,5,8.7
282,PM,141,5,8.8,6
283,AM,142,5,4.8,10.4
284,PM,142,5,7.4,5.2
285,AM,143,5,5,11.4
286,PM,143,5,7,2
287,AM,144,5,3.6,11.2
288,PM,144,5,7.8,4.2
289,AM,145,5,4.2,9.4
290,PM,145,5,9,2.8
291,AM,146,5,4.6,9.2
292,PM,146,5,7.8,5
293,AM,147,5,4.4,11.4
294,PM,147,5,8.4,5.8
295,AM,148,5,4.2,9.6
296,PM,148,5,7.8,4.6
297,AM,149,5,2.4,12
298,PM,149,5,7.8,6
299,AM,150,5,3.8,9
300,PM,150,5,9.8,5.6
301,AM,151,5,3.8,10.4
302,PM,151,5,8.4,6.6
303,AM,152,5,4,9.4
304,PM,152,5,7.6,5.2
305,AM,153,5,3.8,7.6
306,PM,153,6,8.2,4.6
307,AM,154,6,3.6,1.2
308,PM,154,6,5.6,5.8
309,AM,155,6,2.6,10.1
310,PM,155,6,7.4,9.7
311,AM,156,6,3.6,10
312,PM,156,6,3.7,4.4
313,AM,157,6,3.6,10
314,PM,157,6,7.8,4.4
315,AM,158,6,4.4,12
316,PM,158,6,6.7,6
317,AM,159,6,2.9,10.2
318,PM,159,6,6,4.6
319,AM,160,6,3.6,11.6
320,PM,160,6,0,5
321,AM,161,6,0,10
322,PM,161,6,6.6,4.6
323,AM,162,6,3.2,9.3
324,PM,162,6,9,4.4
325,AM,163,6,3,9
326,PM,163,6,7.4,5.4
327,AM,164,6,3,11.8
328,PM,164,6,8.2,5
329,AM,165,6,2.8,8
330,PM,165,6,8.8,5.2
331,AM,166,6,4.4,11.4
332,PM,166,6,9,4
333,AM,167,6,3.4,8.4
334,PM,167,6,8.6,8.2
335,AM,168,6,2.4,11.2
336,PM,168,6,9,4
337,AM,169,6,3.8,8.9
338,PM,169,6,8.6,4.4
339,AM,170,6,4,11
340,PM,170,6,8.4,4.6
341,AM,171,6,3.6,10.6
342,PM,171,6,8,5.2
343,AM,172,6,4,9
344,PM,172,6,6.3,4.6
345,AM,173,6,3.3,8.8
346,PM,173,6,7.6,5
347,AM,174,6,0,10
348,PM,174,6,11.2,3.6
349,AM,175,6,4.4,9.2
350,PM,175,6,7.6,4.4
351,AM,176,6,6.2,9.2
352,PM,176,6,7,4
353,AM,177,6,3.4,10
354,PM,177,6,6.8,3.6
355,AM,178,6,3.4,6.4
356,PM,178,6,9.4,4.2
357,AM,179,6,0,9.8
358,PM,179,6,7.9,4
359,AM,180,6,4,9.8
360,PM,180,6,9.6,3.8
361,AM,181,6,4.4,10.4
362,PM,181,6,7,4
363,AM,182,6,3.2,6.8
364,PM,182,6,8.4,4.6
365,AM,183,6,3.8,8
366,PM,183,6,7.8,4.4
367,AM,184,7,3.6,8
368,PM,184,7,9.2,5.8
369,AM,185,7,3.6,7.4
370,PM,185,7,8.8,2.2
371,AM,186,7,4,8.6
372,PM,186,7,7.9,3.4
373,AM,187,7,4.1,9
374,PM,187,7,8.2,4.8
